001  00001 |Loss: 2.439 | Acc: 5.469% 
001  00002 |Loss: 2.504 | Acc: 7.031% 
001  00003 |Loss: 2.527 | Acc: 9.635% 
001  00004 |Loss: 2.651 | Acc: 10.156% 
001  00005 |Loss: 2.792 | Acc: 9.844% 
001  00006 |Loss: 2.864 | Acc: 10.286% 
001  00007 |Loss: 2.873 | Acc: 10.603% 
001  00008 |Loss: 2.953 | Acc: 10.742% 
001  00009 |Loss: 2.957 | Acc: 10.243% 
001  00010 |Loss: 3.018 | Acc: 10.469% 
001  00011 |Loss: 3.056 | Acc: 10.369% 
001  00012 |Loss: 3.057 | Acc: 10.547% 
001  00013 |Loss: 3.002 | Acc: 10.938% 
001  00014 |Loss: 3.003 | Acc: 11.049% 
001  00015 |Loss: 3.026 | Acc: 11.250% 
001  00016 |Loss: 3.017 | Acc: 11.230% 
001  00017 |Loss: 3.007 | Acc: 11.029% 
001  00018 |Loss: 2.997 | Acc: 11.198% 
001  00019 |Loss: 2.992 | Acc: 11.143% 
001  00020 |Loss: 2.986 | Acc: 11.523% 
001  00021 |Loss: 2.958 | Acc: 11.682% 
001  00022 |Loss: 2.946 | Acc: 12.216% 
001  00023 |Loss: 2.925 | Acc: 12.296% 
001  00024 |Loss: 2.910 | Acc: 12.207% 
001  00025 |Loss: 2.891 | Acc: 12.500% 
001  00026 |Loss: 2.875 | Acc: 12.620% 
001  00027 |Loss: 2.857 | Acc: 12.587% 
001  00028 |Loss: 2.860 | Acc: 12.640% 
001  00029 |Loss: 2.840 | Acc: 12.931% 
001  00030 |Loss: 2.828 | Acc: 12.917% 
001  00031 |Loss: 2.816 | Acc: 12.928% 
001  00032 |Loss: 2.800 | Acc: 12.866% 
001  00033 |Loss: 2.790 | Acc: 12.926% 
001  00034 |Loss: 2.776 | Acc: 13.051% 
001  00035 |Loss: 2.763 | Acc: 13.036% 
001  00036 |Loss: 2.748 | Acc: 13.194% 
001  00037 |Loss: 2.740 | Acc: 13.408% 
001  00038 |Loss: 2.732 | Acc: 13.549% 
001  00039 |Loss: 2.729 | Acc: 13.762% 
001  00040 |Loss: 2.719 | Acc: 13.867% 
001  00041 |Loss: 2.703 | Acc: 14.062% 
001  00042 |Loss: 2.694 | Acc: 14.286% 
001  00043 |Loss: 2.686 | Acc: 14.426% 
001  00044 |Loss: 2.672 | Acc: 14.613% 
001  00045 |Loss: 2.669 | Acc: 14.792% 
001  00046 |Loss: 2.658 | Acc: 14.980% 
001  00047 |Loss: 2.645 | Acc: 15.160% 
001  00048 |Loss: 2.637 | Acc: 15.137% 
001  00049 |Loss: 2.630 | Acc: 15.131% 
001  00050 |Loss: 2.616 | Acc: 15.453% 
001  00051 |Loss: 2.607 | Acc: 15.625% 
001  00052 |Loss: 2.596 | Acc: 15.775% 
001  00053 |Loss: 2.587 | Acc: 15.876% 
001  00054 |Loss: 2.576 | Acc: 16.016% 
001  00055 |Loss: 2.567 | Acc: 16.080% 
001  00056 |Loss: 2.556 | Acc: 16.350% 
001  00057 |Loss: 2.550 | Acc: 16.406% 
001  00058 |Loss: 2.543 | Acc: 16.568% 
001  00059 |Loss: 2.538 | Acc: 16.618% 
001  00060 |Loss: 2.530 | Acc: 16.745% 
001  00061 |Loss: 2.521 | Acc: 16.829% 
001  00062 |Loss: 2.516 | Acc: 16.898% 
001  00063 |Loss: 2.510 | Acc: 16.902% 
001  00064 |Loss: 2.504 | Acc: 16.980% 
001  00065 |Loss: 2.501 | Acc: 17.103% 
001  00066 |Loss: 2.493 | Acc: 17.199% 
001  00067 |Loss: 2.487 | Acc: 17.432% 
001  00068 |Loss: 2.481 | Acc: 17.486% 
001  00069 |Loss: 2.475 | Acc: 17.516% 
001  00070 |Loss: 2.470 | Acc: 17.556% 
001  00071 |Loss: 2.462 | Acc: 17.694% 
001  00072 |Loss: 2.458 | Acc: 17.752% 
001  00073 |Loss: 2.453 | Acc: 17.840% 
001  00074 |Loss: 2.450 | Acc: 17.884% 
