EPOCH=001,Accuracy= 48.030%
EPOCH=002,Accuracy= 54.580%
EPOCH=003,Accuracy= 58.360%
EPOCH=004,Accuracy= 59.470%
EPOCH=005,Accuracy= 65.160%
EPOCH=006,Accuracy= 64.990%
EPOCH=007,Accuracy= 65.980%
EPOCH=008,Accuracy= 66.030%
EPOCH=009,Accuracy= 66.450%
EPOCH=010,Accuracy= 67.720%
EPOCH=011,Accuracy= 68.080%
EPOCH=012,Accuracy= 68.450%
EPOCH=013,Accuracy= 68.230%
EPOCH=014,Accuracy= 69.020%
EPOCH=015,Accuracy= 70.120%
EPOCH=016,Accuracy= 68.900%
EPOCH=017,Accuracy= 69.300%
EPOCH=018,Accuracy= 69.680%
EPOCH=019,Accuracy= 69.620%
EPOCH=020,Accuracy= 70.660%
EPOCH=021,Accuracy= 70.250%
EPOCH=022,Accuracy= 69.440%
EPOCH=023,Accuracy= 69.640%
EPOCH=024,Accuracy= 70.300%
EPOCH=025,Accuracy= 70.930%
EPOCH=026,Accuracy= 69.670%
EPOCH=027,Accuracy= 69.540%
EPOCH=028,Accuracy= 69.810%
EPOCH=029,Accuracy= 69.950%
EPOCH=030,Accuracy= 71.220%
EPOCH=031,Accuracy= 70.390%
EPOCH=032,Accuracy= 70.350%
EPOCH=033,Accuracy= 70.220%
EPOCH=034,Accuracy= 70.820%
EPOCH=035,Accuracy= 70.330%
EPOCH=036,Accuracy= 70.930%
EPOCH=037,Accuracy= 71.150%
EPOCH=038,Accuracy= 70.510%
EPOCH=039,Accuracy= 72.120%
EPOCH=040,Accuracy= 70.530%
EPOCH=041,Accuracy= 71.600%
EPOCH=042,Accuracy= 69.640%
EPOCH=043,Accuracy= 71.760%
EPOCH=044,Accuracy= 71.060%
EPOCH=045,Accuracy= 72.170%
EPOCH=046,Accuracy= 71.650%
EPOCH=047,Accuracy= 72.570%
EPOCH=048,Accuracy= 71.980%
EPOCH=049,Accuracy= 72.150%
EPOCH=050,Accuracy= 71.390%
EPOCH=051,Accuracy= 72.240%
EPOCH=052,Accuracy= 72.180%
EPOCH=053,Accuracy= 71.560%
EPOCH=054,Accuracy= 71.150%
EPOCH=055,Accuracy= 72.410%
EPOCH=056,Accuracy= 71.530%
EPOCH=057,Accuracy= 71.990%
EPOCH=058,Accuracy= 71.730%
EPOCH=059,Accuracy= 72.450%
EPOCH=060,Accuracy= 72.150%
EPOCH=061,Accuracy= 70.800%
EPOCH=062,Accuracy= 71.880%
EPOCH=063,Accuracy= 72.050%
EPOCH=064,Accuracy= 71.680%
EPOCH=065,Accuracy= 72.040%
EPOCH=066,Accuracy= 71.920%
EPOCH=067,Accuracy= 72.500%
EPOCH=068,Accuracy= 72.460%
EPOCH=069,Accuracy= 72.600%
EPOCH=070,Accuracy= 72.630%
EPOCH=071,Accuracy= 71.740%
EPOCH=072,Accuracy= 71.870%
EPOCH=073,Accuracy= 72.740%
EPOCH=074,Accuracy= 72.170%
EPOCH=075,Accuracy= 72.430%
EPOCH=076,Accuracy= 71.780%
EPOCH=077,Accuracy= 72.070%
EPOCH=078,Accuracy= 72.080%
EPOCH=079,Accuracy= 71.850%
EPOCH=080,Accuracy= 71.170%
EPOCH=081,Accuracy= 72.620%
EPOCH=082,Accuracy= 72.390%
EPOCH=083,Accuracy= 72.160%
EPOCH=084,Accuracy= 72.130%
EPOCH=085,Accuracy= 73.140%
EPOCH=086,Accuracy= 72.670%
EPOCH=087,Accuracy= 71.910%
EPOCH=088,Accuracy= 71.900%
EPOCH=089,Accuracy= 72.890%
EPOCH=090,Accuracy= 72.890%
EPOCH=091,Accuracy= 72.670%
EPOCH=092,Accuracy= 72.950%
EPOCH=093,Accuracy= 72.360%
EPOCH=094,Accuracy= 73.180%
EPOCH=095,Accuracy= 72.630%
EPOCH=096,Accuracy= 71.080%
EPOCH=097,Accuracy= 71.970%
EPOCH=098,Accuracy= 72.600%
EPOCH=099,Accuracy= 72.700%
EPOCH=100,Accuracy= 73.020%
EPOCH=101,Accuracy= 72.800%
EPOCH=102,Accuracy= 72.450%
EPOCH=103,Accuracy= 72.870%
EPOCH=104,Accuracy= 72.510%
EPOCH=105,Accuracy= 73.140%
EPOCH=106,Accuracy= 72.870%
EPOCH=107,Accuracy= 73.140%
EPOCH=108,Accuracy= 73.140%
EPOCH=109,Accuracy= 73.040%
EPOCH=110,Accuracy= 72.630%
EPOCH=111,Accuracy= 73.220%
EPOCH=112,Accuracy= 72.700%
EPOCH=113,Accuracy= 72.740%
EPOCH=114,Accuracy= 72.600%
EPOCH=115,Accuracy= 73.460%
EPOCH=116,Accuracy= 72.390%
EPOCH=117,Accuracy= 73.310%
EPOCH=118,Accuracy= 73.260%
EPOCH=119,Accuracy= 73.200%
EPOCH=120,Accuracy= 72.600%
EPOCH=121,Accuracy= 72.720%
EPOCH=122,Accuracy= 72.660%
EPOCH=123,Accuracy= 73.310%
EPOCH=124,Accuracy= 73.190%
EPOCH=125,Accuracy= 73.440%
