EPOCH=001,Accuracy= 34.259%
EPOCH=002,Accuracy= 50.167%
EPOCH=003,Accuracy= 55.689%
EPOCH=004,Accuracy= 58.547%
EPOCH=005,Accuracy= 61.107%
EPOCH=006,Accuracy= 62.682%
EPOCH=007,Accuracy= 64.044%
EPOCH=008,Accuracy= 65.325%
EPOCH=009,Accuracy= 66.071%
EPOCH=010,Accuracy= 66.963%
EPOCH=011,Accuracy= 67.645%
EPOCH=012,Accuracy= 68.009%
EPOCH=013,Accuracy= 68.762%
EPOCH=014,Accuracy= 68.924%
EPOCH=015,Accuracy= 69.414%
EPOCH=016,Accuracy= 69.802%
EPOCH=017,Accuracy= 70.296%
EPOCH=018,Accuracy= 70.549%
EPOCH=019,Accuracy= 70.739%
EPOCH=020,Accuracy= 71.036%
EPOCH=021,Accuracy= 71.193%
EPOCH=022,Accuracy= 71.350%
EPOCH=023,Accuracy= 71.654%
EPOCH=024,Accuracy= 71.835%
EPOCH=025,Accuracy= 72.181%
EPOCH=026,Accuracy= 72.104%
EPOCH=027,Accuracy= 72.078%
EPOCH=028,Accuracy= 72.671%
EPOCH=029,Accuracy= 72.815%
EPOCH=030,Accuracy= 72.923%
EPOCH=031,Accuracy= 73.166%
EPOCH=032,Accuracy= 73.105%
EPOCH=033,Accuracy= 73.262%
EPOCH=034,Accuracy= 73.310%
EPOCH=035,Accuracy= 73.548%
EPOCH=036,Accuracy= 73.477%
EPOCH=037,Accuracy= 73.730%
EPOCH=038,Accuracy= 73.662%
EPOCH=039,Accuracy= 74.066%
EPOCH=040,Accuracy= 73.892%
EPOCH=041,Accuracy= 74.036%
EPOCH=042,Accuracy= 74.309%
EPOCH=043,Accuracy= 74.306%
EPOCH=044,Accuracy= 74.359%
EPOCH=045,Accuracy= 74.594%
EPOCH=046,Accuracy= 74.572%
EPOCH=047,Accuracy= 74.632%
EPOCH=048,Accuracy= 74.831%
EPOCH=049,Accuracy= 74.691%
EPOCH=050,Accuracy= 74.861%
EPOCH=051,Accuracy= 74.709%
EPOCH=052,Accuracy= 75.069%
EPOCH=053,Accuracy= 75.122%
EPOCH=054,Accuracy= 75.034%
EPOCH=055,Accuracy= 75.224%
EPOCH=056,Accuracy= 75.185%
EPOCH=057,Accuracy= 75.315%
EPOCH=058,Accuracy= 75.478%
EPOCH=059,Accuracy= 75.457%
EPOCH=060,Accuracy= 75.725%
EPOCH=061,Accuracy= 75.921%
EPOCH=062,Accuracy= 75.859%
EPOCH=063,Accuracy= 75.681%
EPOCH=064,Accuracy= 75.814%
EPOCH=065,Accuracy= 75.975%
EPOCH=066,Accuracy= 76.035%
EPOCH=067,Accuracy= 76.007%
EPOCH=068,Accuracy= 76.162%
EPOCH=069,Accuracy= 76.260%
EPOCH=070,Accuracy= 76.305%
EPOCH=071,Accuracy= 76.361%
EPOCH=072,Accuracy= 76.662%
EPOCH=073,Accuracy= 76.619%
EPOCH=074,Accuracy= 76.787%
EPOCH=075,Accuracy= 76.698%
EPOCH=076,Accuracy= 76.695%
EPOCH=077,Accuracy= 76.945%
EPOCH=078,Accuracy= 76.926%
EPOCH=079,Accuracy= 76.893%
EPOCH=080,Accuracy= 76.967%
EPOCH=081,Accuracy= 77.002%
EPOCH=082,Accuracy= 77.127%
EPOCH=083,Accuracy= 77.217%
EPOCH=084,Accuracy= 77.134%
EPOCH=085,Accuracy= 77.398%
EPOCH=086,Accuracy= 77.316%
EPOCH=087,Accuracy= 77.341%
EPOCH=088,Accuracy= 77.508%
EPOCH=089,Accuracy= 77.514%
EPOCH=090,Accuracy= 77.665%
EPOCH=091,Accuracy= 77.897%
EPOCH=092,Accuracy= 77.812%
EPOCH=093,Accuracy= 77.938%
EPOCH=094,Accuracy= 78.086%
EPOCH=095,Accuracy= 78.192%
EPOCH=096,Accuracy= 78.064%
EPOCH=097,Accuracy= 78.372%
EPOCH=098,Accuracy= 78.332%
EPOCH=099,Accuracy= 78.327%
EPOCH=100,Accuracy= 78.667%
EPOCH=101,Accuracy= 78.528%
EPOCH=102,Accuracy= 78.540%
EPOCH=103,Accuracy= 78.781%
EPOCH=104,Accuracy= 78.684%
EPOCH=105,Accuracy= 78.901%
EPOCH=106,Accuracy= 79.021%
EPOCH=107,Accuracy= 78.944%
EPOCH=108,Accuracy= 78.920%
EPOCH=109,Accuracy= 79.150%
EPOCH=110,Accuracy= 79.297%
EPOCH=111,Accuracy= 79.371%
EPOCH=112,Accuracy= 79.419%
EPOCH=113,Accuracy= 79.458%
EPOCH=114,Accuracy= 79.419%
EPOCH=115,Accuracy= 79.587%
EPOCH=116,Accuracy= 79.751%
EPOCH=117,Accuracy= 79.864%
EPOCH=118,Accuracy= 79.823%
EPOCH=119,Accuracy= 79.737%
EPOCH=120,Accuracy= 80.224%
EPOCH=121,Accuracy= 80.150%
EPOCH=122,Accuracy= 80.308%
EPOCH=123,Accuracy= 80.317%
EPOCH=124,Accuracy= 80.328%
EPOCH=125,Accuracy= 80.324%
