001  00001 |Loss: 2.297 | Acc: 7.812% 
001  00002 |Loss: 2.303 | Acc: 9.766% 
001  00003 |Loss: 2.302 | Acc: 9.635% 
001  00004 |Loss: 2.300 | Acc: 11.523% 
001  00005 |Loss: 2.301 | Acc: 11.406% 
001  00006 |Loss: 2.303 | Acc: 11.458% 
001  00007 |Loss: 2.304 | Acc: 11.719% 
001  00008 |Loss: 2.302 | Acc: 12.793% 
001  00009 |Loss: 2.303 | Acc: 12.153% 
001  00010 |Loss: 2.302 | Acc: 12.656% 
001  00011 |Loss: 2.303 | Acc: 12.500% 
001  00012 |Loss: 2.303 | Acc: 12.695% 
001  00013 |Loss: 2.303 | Acc: 12.740% 
001  00014 |Loss: 2.303 | Acc: 13.058% 
001  00015 |Loss: 2.304 | Acc: 12.656% 
001  00016 |Loss: 2.303 | Acc: 12.549% 
001  00017 |Loss: 2.303 | Acc: 12.638% 
001  00018 |Loss: 2.303 | Acc: 12.326% 
001  00019 |Loss: 2.303 | Acc: 12.336% 
001  00020 |Loss: 2.304 | Acc: 12.188% 
001  00021 |Loss: 2.304 | Acc: 11.979% 
001  00022 |Loss: 2.304 | Acc: 12.109% 
001  00023 |Loss: 2.304 | Acc: 11.889% 
001  00024 |Loss: 2.304 | Acc: 12.077% 
001  00025 |Loss: 2.304 | Acc: 11.906% 
001  00026 |Loss: 2.303 | Acc: 12.019% 
001  00027 |Loss: 2.304 | Acc: 12.037% 
001  00028 |Loss: 2.303 | Acc: 12.249% 
001  00029 |Loss: 2.303 | Acc: 12.311% 
001  00030 |Loss: 2.303 | Acc: 12.370% 
001  00031 |Loss: 2.303 | Acc: 12.273% 
001  00032 |Loss: 2.303 | Acc: 12.207% 
001  00033 |Loss: 2.303 | Acc: 12.216% 
001  00034 |Loss: 2.302 | Acc: 12.362% 
001  00035 |Loss: 2.302 | Acc: 12.433% 
001  00036 |Loss: 2.302 | Acc: 12.348% 
001  00037 |Loss: 2.302 | Acc: 12.331% 
001  00038 |Loss: 2.302 | Acc: 12.336% 
001  00039 |Loss: 2.302 | Acc: 12.320% 
001  00040 |Loss: 2.302 | Acc: 12.305% 
001  00041 |Loss: 2.301 | Acc: 12.348% 
001  00042 |Loss: 2.301 | Acc: 12.221% 
001  00043 |Loss: 2.301 | Acc: 12.100% 
001  00044 |Loss: 2.301 | Acc: 12.180% 
001  00045 |Loss: 2.301 | Acc: 12.240% 
001  00046 |Loss: 2.300 | Acc: 12.296% 
001  00047 |Loss: 2.300 | Acc: 12.284% 
001  00048 |Loss: 2.300 | Acc: 12.288% 
001  00049 |Loss: 2.300 | Acc: 12.341% 
001  00050 |Loss: 2.300 | Acc: 12.438% 
001  00051 |Loss: 2.300 | Acc: 12.653% 
001  00052 |Loss: 2.299 | Acc: 12.770% 
001  00053 |Loss: 2.299 | Acc: 12.824% 
001  00054 |Loss: 2.299 | Acc: 12.905% 
001  00055 |Loss: 2.298 | Acc: 12.983% 
001  00056 |Loss: 2.298 | Acc: 13.016% 
001  00057 |Loss: 2.298 | Acc: 13.103% 
001  00058 |Loss: 2.298 | Acc: 13.133% 
001  00059 |Loss: 2.298 | Acc: 13.215% 
001  00060 |Loss: 2.297 | Acc: 13.359% 
001  00061 |Loss: 2.297 | Acc: 13.397% 
001  00062 |Loss: 2.297 | Acc: 13.420% 
001  00063 |Loss: 2.297 | Acc: 13.467% 
001  00064 |Loss: 2.296 | Acc: 13.428% 
001  00065 |Loss: 2.296 | Acc: 13.486% 
001  00066 |Loss: 2.296 | Acc: 13.494% 
001  00067 |Loss: 2.296 | Acc: 13.491% 
001  00068 |Loss: 2.295 | Acc: 13.419% 
001  00069 |Loss: 2.295 | Acc: 13.462% 
001  00070 |Loss: 2.295 | Acc: 13.426% 
001  00071 |Loss: 2.294 | Acc: 13.424% 
001  00072 |Loss: 2.294 | Acc: 13.390% 
001  00073 |Loss: 2.293 | Acc: 13.410% 
001  00074 |Loss: 2.292 | Acc: 13.418% 
001  00075 |Loss: 2.292 | Acc: 13.417% 
001  00076 |Loss: 2.291 | Acc: 13.353% 
001  00077 |Loss: 2.290 | Acc: 13.413% 
001  00078 |Loss: 2.289 | Acc: 13.391% 
001  00079 |Loss: 2.289 | Acc: 13.370% 
001  00080 |Loss: 2.288 | Acc: 13.408% 
001  00081 |Loss: 2.287 | Acc: 13.474% 
001  00082 |Loss: 2.286 | Acc: 13.510% 
001  00083 |Loss: 2.285 | Acc: 13.582% 
001  00084 |Loss: 2.285 | Acc: 13.635% 
001  00085 |Loss: 2.284 | Acc: 13.658% 
001  00086 |Loss: 2.284 | Acc: 13.681% 
001  00087 |Loss: 2.283 | Acc: 13.811% 
001  00088 |Loss: 2.282 | Acc: 13.841% 
001  00089 |Loss: 2.281 | Acc: 13.861% 
001  00090 |Loss: 2.280 | Acc: 13.906% 
001  00091 |Loss: 2.279 | Acc: 13.985% 
001  00092 |Loss: 2.278 | Acc: 14.003% 
001  00093 |Loss: 2.276 | Acc: 14.037% 
001  00094 |Loss: 2.275 | Acc: 14.129% 
001  00095 |Loss: 2.275 | Acc: 14.128% 
001  00096 |Loss: 2.274 | Acc: 14.217% 
