001  00001 |Loss: 2.543 | Acc: 10.156% 
001  00002 |Loss: 3.055 | Acc: 10.547% 
001  00003 |Loss: 3.896 | Acc: 13.802% 
001  00004 |Loss: 4.090 | Acc: 14.844% 
001  00005 |Loss: 4.214 | Acc: 13.281% 
001  00006 |Loss: 4.148 | Acc: 13.542% 
001  00007 |Loss: 4.052 | Acc: 12.277% 
001  00008 |Loss: 4.036 | Acc: 12.793% 
001  00009 |Loss: 3.892 | Acc: 12.760% 
001  00010 |Loss: 3.819 | Acc: 12.344% 
001  00011 |Loss: 3.737 | Acc: 12.145% 
001  00012 |Loss: 3.657 | Acc: 12.174% 
001  00013 |Loss: 3.598 | Acc: 12.320% 
001  00014 |Loss: 3.559 | Acc: 12.333% 
001  00015 |Loss: 3.511 | Acc: 12.135% 
001  00016 |Loss: 3.456 | Acc: 11.816% 
001  00017 |Loss: 3.409 | Acc: 11.719% 
001  00018 |Loss: 3.363 | Acc: 11.589% 
001  00019 |Loss: 3.312 | Acc: 11.801% 
001  00020 |Loss: 3.270 | Acc: 12.305% 
001  00021 |Loss: 3.234 | Acc: 12.649% 
001  00022 |Loss: 3.205 | Acc: 12.820% 
001  00023 |Loss: 3.172 | Acc: 12.976% 
001  00024 |Loss: 3.132 | Acc: 13.379% 
001  00025 |Loss: 3.090 | Acc: 13.656% 
001  00026 |Loss: 3.061 | Acc: 13.852% 
001  00027 |Loss: 3.032 | Acc: 14.062% 
001  00028 |Loss: 3.010 | Acc: 14.146% 
001  00029 |Loss: 2.978 | Acc: 14.413% 
001  00030 |Loss: 2.954 | Acc: 14.479% 
001  00031 |Loss: 2.932 | Acc: 14.466% 
001  00032 |Loss: 2.911 | Acc: 14.404% 
001  00033 |Loss: 2.889 | Acc: 14.512% 
001  00034 |Loss: 2.867 | Acc: 14.729% 
001  00035 |Loss: 2.848 | Acc: 14.777% 
001  00036 |Loss: 2.827 | Acc: 14.887% 
001  00037 |Loss: 2.806 | Acc: 14.949% 
001  00038 |Loss: 2.787 | Acc: 15.461% 
001  00039 |Loss: 2.773 | Acc: 15.565% 
001  00040 |Loss: 2.754 | Acc: 15.742% 
001  00041 |Loss: 2.739 | Acc: 15.911% 
001  00042 |Loss: 2.722 | Acc: 16.034% 
001  00043 |Loss: 2.710 | Acc: 15.916% 
001  00044 |Loss: 2.697 | Acc: 16.069% 
001  00045 |Loss: 2.685 | Acc: 16.059% 
001  00046 |Loss: 2.672 | Acc: 16.185% 
001  00047 |Loss: 2.661 | Acc: 16.190% 
001  00048 |Loss: 2.654 | Acc: 16.227% 
001  00049 |Loss: 2.642 | Acc: 16.311% 
001  00050 |Loss: 2.629 | Acc: 16.406% 
001  00051 |Loss: 2.617 | Acc: 16.544% 
001  00052 |Loss: 2.608 | Acc: 16.602% 
001  00053 |Loss: 2.598 | Acc: 16.627% 
001  00054 |Loss: 2.586 | Acc: 16.696% 
001  00055 |Loss: 2.576 | Acc: 16.847% 
001  00056 |Loss: 2.565 | Acc: 16.992% 
001  00057 |Loss: 2.555 | Acc: 17.050% 
001  00058 |Loss: 2.545 | Acc: 17.161% 
001  00059 |Loss: 2.534 | Acc: 17.360% 
001  00060 |Loss: 2.526 | Acc: 17.500% 
001  00061 |Loss: 2.519 | Acc: 17.572% 
001  00062 |Loss: 2.511 | Acc: 17.767% 
001  00063 |Loss: 2.502 | Acc: 17.894% 
001  00064 |Loss: 2.494 | Acc: 17.993% 
001  00065 |Loss: 2.487 | Acc: 17.993% 
001  00066 |Loss: 2.481 | Acc: 18.052% 
001  00067 |Loss: 2.473 | Acc: 18.190% 
001  00068 |Loss: 2.468 | Acc: 18.164% 
001  00069 |Loss: 2.461 | Acc: 18.331% 
001  00070 |Loss: 2.453 | Acc: 18.359% 
001  00071 |Loss: 2.446 | Acc: 18.420% 
001  00072 |Loss: 2.441 | Acc: 18.511% 
001  00073 |Loss: 2.437 | Acc: 18.515% 
001  00074 |Loss: 2.430 | Acc: 18.602% 
001  00075 |Loss: 2.424 | Acc: 18.750% 
001  00076 |Loss: 2.417 | Acc: 18.832% 
001  00077 |Loss: 2.412 | Acc: 18.933% 
001  00078 |Loss: 2.405 | Acc: 19.000% 
001  00079 |Loss: 2.401 | Acc: 19.017% 
001  00080 |Loss: 2.397 | Acc: 19.082% 
001  00081 |Loss: 2.391 | Acc: 19.165% 
001  00082 |Loss: 2.385 | Acc: 19.350% 
001  00083 |Loss: 2.381 | Acc: 19.381% 
001  00084 |Loss: 2.377 | Acc: 19.392% 
001  00085 |Loss: 2.374 | Acc: 19.329% 
001  00086 |Loss: 2.369 | Acc: 19.413% 
001  00087 |Loss: 2.363 | Acc: 19.513% 
001  00088 |Loss: 2.358 | Acc: 19.620% 
001  00089 |Loss: 2.353 | Acc: 19.716% 
001  00090 |Loss: 2.350 | Acc: 19.826% 
001  00091 |Loss: 2.345 | Acc: 19.866% 
001  00092 |Loss: 2.341 | Acc: 19.888% 
001  00093 |Loss: 2.338 | Acc: 19.960% 
001  00094 |Loss: 2.333 | Acc: 20.047% 
001  00095 |Loss: 2.330 | Acc: 20.074% 
001  00096 |Loss: 2.325 | Acc: 20.207% 
001  00097 |Loss: 2.320 | Acc: 20.312% 
001  00098 |Loss: 2.317 | Acc: 20.289% 
001  00099 |Loss: 2.312 | Acc: 20.368% 
001  00100 |Loss: 2.308 | Acc: 20.391% 
001  00101 |Loss: 2.304 | Acc: 20.467% 
001  00102 |Loss: 2.301 | Acc: 20.519% 
001  00103 |Loss: 2.297 | Acc: 20.601% 
001  00104 |Loss: 2.293 | Acc: 20.643% 
001  00105 |Loss: 2.289 | Acc: 20.714% 
001  00106 |Loss: 2.285 | Acc: 20.725% 
001  00107 |Loss: 2.280 | Acc: 20.853% 
001  00108 |Loss: 2.276 | Acc: 20.935% 
001  00109 |Loss: 2.273 | Acc: 20.979% 
001  00110 |Loss: 2.269 | Acc: 21.080% 
001  00111 |Loss: 2.266 | Acc: 21.143% 
001  00112 |Loss: 2.263 | Acc: 21.226% 
001  00113 |Loss: 2.260 | Acc: 21.274% 
001  00114 |Loss: 2.256 | Acc: 21.347% 
001  00115 |Loss: 2.252 | Acc: 21.433% 
001  00116 |Loss: 2.247 | Acc: 21.572% 
001  00117 |Loss: 2.245 | Acc: 21.601% 
001  00118 |Loss: 2.242 | Acc: 21.630% 
001  00119 |Loss: 2.239 | Acc: 21.724% 
001  00120 |Loss: 2.236 | Acc: 21.764% 
001  00121 |Loss: 2.232 | Acc: 21.907% 
001  00122 |Loss: 2.229 | Acc: 22.003% 
001  00123 |Loss: 2.226 | Acc: 22.053% 
001  00124 |Loss: 2.225 | Acc: 22.083% 
001  00125 |Loss: 2.221 | Acc: 22.150% 
001  00126 |Loss: 2.218 | Acc: 22.210% 
001  00127 |Loss: 2.215 | Acc: 22.281% 
001  00128 |Loss: 2.212 | Acc: 22.363% 
001  00129 |Loss: 2.209 | Acc: 22.396% 
001  00130 |Loss: 2.206 | Acc: 22.458% 
001  00131 |Loss: 2.202 | Acc: 22.573% 
001  00132 |Loss: 2.199 | Acc: 22.674% 
001  00133 |Loss: 2.196 | Acc: 22.733% 
001  00134 |Loss: 2.194 | Acc: 22.761% 
001  00135 |Loss: 2.190 | Acc: 22.911% 
001  00136 |Loss: 2.187 | Acc: 22.961% 
001  00137 |Loss: 2.185 | Acc: 23.010% 
001  00138 |Loss: 2.182 | Acc: 23.109% 
001  00139 |Loss: 2.180 | Acc: 23.162% 
001  00140 |Loss: 2.177 | Acc: 23.242% 
001  00141 |Loss: 2.174 | Acc: 23.305% 
001  00142 |Loss: 2.172 | Acc: 23.333% 
001  00143 |Loss: 2.170 | Acc: 23.350% 
001  00144 |Loss: 2.169 | Acc: 23.351% 
001  00145 |Loss: 2.166 | Acc: 23.448% 
001  00146 |Loss: 2.163 | Acc: 23.486% 
001  00147 |Loss: 2.160 | Acc: 23.533% 
001  00148 |Loss: 2.157 | Acc: 23.606% 
001  00149 |Loss: 2.154 | Acc: 23.679% 
001  00150 |Loss: 2.151 | Acc: 23.771% 
001  00151 |Loss: 2.148 | Acc: 23.872% 
001  00152 |Loss: 2.146 | Acc: 23.941% 
001  00153 |Loss: 2.143 | Acc: 24.004% 
001  00154 |Loss: 2.142 | Acc: 24.016% 
001  00155 |Loss: 2.139 | Acc: 24.083% 
001  00156 |Loss: 2.137 | Acc: 24.129% 
001  00157 |Loss: 2.135 | Acc: 24.229% 
001  00158 |Loss: 2.132 | Acc: 24.273% 
001  00159 |Loss: 2.129 | Acc: 24.376% 
001  00160 |Loss: 2.127 | Acc: 24.424% 
001  00161 |Loss: 2.125 | Acc: 24.471% 
001  00162 |Loss: 2.123 | Acc: 24.537% 
001  00163 |Loss: 2.121 | Acc: 24.588% 
001  00164 |Loss: 2.118 | Acc: 24.667% 
001  00165 |Loss: 2.117 | Acc: 24.716% 
001  00166 |Loss: 2.114 | Acc: 24.755% 
001  00167 |Loss: 2.113 | Acc: 24.747% 
001  00168 |Loss: 2.111 | Acc: 24.795% 
001  00169 |Loss: 2.109 | Acc: 24.829% 
001  00170 |Loss: 2.108 | Acc: 24.885% 
001  00171 |Loss: 2.106 | Acc: 24.936% 
001  00172 |Loss: 2.103 | Acc: 25.018% 
001  00173 |Loss: 2.101 | Acc: 25.104% 
001  00174 |Loss: 2.098 | Acc: 25.166% 
001  00175 |Loss: 2.096 | Acc: 25.183% 
001  00176 |Loss: 2.094 | Acc: 25.249% 
001  00177 |Loss: 2.091 | Acc: 25.313% 
001  00178 |Loss: 2.089 | Acc: 25.347% 
001  00179 |Loss: 2.087 | Acc: 25.384% 
001  00180 |Loss: 2.085 | Acc: 25.460% 
001  00181 |Loss: 2.083 | Acc: 25.518% 
001  00182 |Loss: 2.081 | Acc: 25.584% 
001  00183 |Loss: 2.079 | Acc: 25.632% 
001  00184 |Loss: 2.077 | Acc: 25.671% 
001  00185 |Loss: 2.074 | Acc: 25.705% 
001  00186 |Loss: 2.072 | Acc: 25.785% 
001  00187 |Loss: 2.070 | Acc: 25.852% 
001  00188 |Loss: 2.068 | Acc: 25.923% 
001  00189 |Loss: 2.066 | Acc: 25.938% 
001  00190 |Loss: 2.064 | Acc: 25.966% 
001  00191 |Loss: 2.063 | Acc: 26.006% 
001  00192 |Loss: 2.061 | Acc: 26.021% 
001  00193 |Loss: 2.059 | Acc: 26.077% 
001  00194 |Loss: 2.057 | Acc: 26.152% 
001  00195 |Loss: 2.055 | Acc: 26.222% 
001  00196 |Loss: 2.053 | Acc: 26.283% 
001  00197 |Loss: 2.051 | Acc: 26.336% 
001  00198 |Loss: 2.049 | Acc: 26.401% 
001  00199 |Loss: 2.048 | Acc: 26.480% 
001  00200 |Loss: 2.046 | Acc: 26.516% 
001  00201 |Loss: 2.045 | Acc: 26.559% 
001  00202 |Loss: 2.042 | Acc: 26.628% 
001  00203 |Loss: 2.040 | Acc: 26.686% 
001  00204 |Loss: 2.039 | Acc: 26.681% 
001  00205 |Loss: 2.039 | Acc: 26.707% 
001  00206 |Loss: 2.038 | Acc: 26.764% 
001  00207 |Loss: 2.036 | Acc: 26.789% 
001  00208 |Loss: 2.035 | Acc: 26.818% 
001  00209 |Loss: 2.033 | Acc: 26.858% 
001  00210 |Loss: 2.031 | Acc: 26.908% 
001  00211 |Loss: 2.030 | Acc: 26.929% 
001  00212 |Loss: 2.029 | Acc: 26.957% 
001  00213 |Loss: 2.027 | Acc: 27.025% 
