001  00001 |Loss: 2.308 | Acc: 8.594% 
001  00002 |Loss: 2.306 | Acc: 9.766% 
001  00003 |Loss: 2.303 | Acc: 10.156% 
001  00004 |Loss: 2.302 | Acc: 11.133% 
001  00005 |Loss: 2.303 | Acc: 10.938% 
001  00006 |Loss: 2.302 | Acc: 10.807% 
001  00007 |Loss: 2.302 | Acc: 10.603% 
001  00008 |Loss: 2.302 | Acc: 10.547% 
001  00009 |Loss: 2.302 | Acc: 10.938% 
001  00010 |Loss: 2.302 | Acc: 10.859% 
001  00011 |Loss: 2.303 | Acc: 10.795% 
001  00012 |Loss: 2.304 | Acc: 10.612% 
001  00013 |Loss: 2.303 | Acc: 10.817% 
001  00014 |Loss: 2.304 | Acc: 10.603% 
001  00015 |Loss: 2.303 | Acc: 10.365% 
001  00016 |Loss: 2.303 | Acc: 10.205% 
001  00017 |Loss: 2.304 | Acc: 9.972% 
001  00018 |Loss: 2.304 | Acc: 10.069% 
001  00019 |Loss: 2.304 | Acc: 9.951% 
001  00020 |Loss: 2.304 | Acc: 9.922% 
001  00021 |Loss: 2.304 | Acc: 9.821% 
001  00022 |Loss: 2.304 | Acc: 9.801% 
001  00023 |Loss: 2.304 | Acc: 9.817% 
001  00024 |Loss: 2.304 | Acc: 9.863% 
001  00025 |Loss: 2.304 | Acc: 9.906% 
001  00026 |Loss: 2.304 | Acc: 9.976% 
001  00027 |Loss: 2.304 | Acc: 9.867% 
001  00028 |Loss: 2.303 | Acc: 9.821% 
001  00029 |Loss: 2.303 | Acc: 9.860% 
001  00030 |Loss: 2.303 | Acc: 9.792% 
001  00031 |Loss: 2.303 | Acc: 9.677% 
001  00032 |Loss: 2.303 | Acc: 9.839% 
001  00033 |Loss: 2.303 | Acc: 9.754% 
001  00034 |Loss: 2.303 | Acc: 9.720% 
001  00035 |Loss: 2.303 | Acc: 9.821% 
001  00036 |Loss: 2.303 | Acc: 9.787% 
001  00037 |Loss: 2.303 | Acc: 9.671% 
001  00038 |Loss: 2.303 | Acc: 9.951% 
001  00039 |Loss: 2.303 | Acc: 10.016% 
001  00040 |Loss: 2.303 | Acc: 10.215% 
001  00041 |Loss: 2.302 | Acc: 10.309% 
001  00042 |Loss: 2.302 | Acc: 10.398% 
001  00043 |Loss: 2.302 | Acc: 10.520% 
001  00044 |Loss: 2.302 | Acc: 10.582% 
001  00045 |Loss: 2.302 | Acc: 10.677% 
001  00046 |Loss: 2.302 | Acc: 10.785% 
001  00047 |Loss: 2.302 | Acc: 10.821% 
001  00048 |Loss: 2.302 | Acc: 10.775% 
001  00049 |Loss: 2.302 | Acc: 10.794% 
001  00050 |Loss: 2.301 | Acc: 10.906% 
001  00051 |Loss: 2.301 | Acc: 11.121% 
001  00052 |Loss: 2.301 | Acc: 11.223% 
001  00053 |Loss: 2.301 | Acc: 11.247% 
001  00054 |Loss: 2.301 | Acc: 11.270% 
001  00055 |Loss: 2.301 | Acc: 11.293% 
001  00056 |Loss: 2.300 | Acc: 11.328% 
001  00057 |Loss: 2.300 | Acc: 11.349% 
001  00058 |Loss: 2.300 | Acc: 11.369% 
001  00059 |Loss: 2.300 | Acc: 11.560% 
001  00060 |Loss: 2.300 | Acc: 11.628% 
001  00061 |Loss: 2.300 | Acc: 11.706% 
001  00062 |Loss: 2.299 | Acc: 11.820% 
001  00063 |Loss: 2.299 | Acc: 11.917% 
001  00064 |Loss: 2.299 | Acc: 11.914% 
001  00065 |Loss: 2.299 | Acc: 12.019% 
001  00066 |Loss: 2.299 | Acc: 11.979% 
001  00067 |Loss: 2.298 | Acc: 12.034% 
001  00068 |Loss: 2.298 | Acc: 12.075% 
001  00069 |Loss: 2.298 | Acc: 12.183% 
001  00070 |Loss: 2.297 | Acc: 12.388% 
001  00071 |Loss: 2.297 | Acc: 12.434% 
001  00072 |Loss: 2.297 | Acc: 12.446% 
001  00073 |Loss: 2.297 | Acc: 12.479% 
001  00074 |Loss: 2.297 | Acc: 12.542% 
001  00075 |Loss: 2.296 | Acc: 12.615% 
001  00076 |Loss: 2.296 | Acc: 12.675% 
001  00077 |Loss: 2.296 | Acc: 12.713% 
001  00078 |Loss: 2.295 | Acc: 12.760% 
001  00079 |Loss: 2.295 | Acc: 12.777% 
001  00080 |Loss: 2.295 | Acc: 12.822% 
001  00081 |Loss: 2.295 | Acc: 12.809% 
001  00082 |Loss: 2.294 | Acc: 12.929% 
001  00083 |Loss: 2.294 | Acc: 12.924% 
001  00084 |Loss: 2.293 | Acc: 12.956% 
001  00085 |Loss: 2.293 | Acc: 13.051% 
001  00086 |Loss: 2.292 | Acc: 13.081% 
001  00087 |Loss: 2.292 | Acc: 13.066% 
001  00088 |Loss: 2.291 | Acc: 13.059% 
001  00089 |Loss: 2.291 | Acc: 13.079% 
001  00090 |Loss: 2.291 | Acc: 13.116% 
001  00091 |Loss: 2.290 | Acc: 13.195% 
001  00092 |Loss: 2.290 | Acc: 13.213% 
001  00093 |Loss: 2.289 | Acc: 13.264% 
001  00094 |Loss: 2.288 | Acc: 13.290% 
001  00095 |Loss: 2.288 | Acc: 13.322% 
001  00096 |Loss: 2.287 | Acc: 13.338% 
001  00097 |Loss: 2.287 | Acc: 13.410% 
001  00098 |Loss: 2.286 | Acc: 13.481% 
001  00099 |Loss: 2.286 | Acc: 13.534% 
001  00100 |Loss: 2.285 | Acc: 13.547% 
001  00101 |Loss: 2.284 | Acc: 13.668% 
001  00102 |Loss: 2.283 | Acc: 13.741% 
001  00103 |Loss: 2.282 | Acc: 13.805% 
001  00104 |Loss: 2.281 | Acc: 13.905% 
001  00105 |Loss: 2.280 | Acc: 13.951% 
001  00106 |Loss: 2.279 | Acc: 14.033% 
001  00107 |Loss: 2.278 | Acc: 14.099% 
001  00108 |Loss: 2.277 | Acc: 14.149% 
001  00109 |Loss: 2.276 | Acc: 14.249% 
001  00110 |Loss: 2.276 | Acc: 14.283% 
001  00111 |Loss: 2.275 | Acc: 14.358% 
001  00112 |Loss: 2.275 | Acc: 14.397% 
001  00113 |Loss: 2.274 | Acc: 14.540% 
001  00114 |Loss: 2.273 | Acc: 14.645% 
001  00115 |Loss: 2.272 | Acc: 14.735% 
001  00116 |Loss: 2.271 | Acc: 14.803% 
001  00117 |Loss: 2.269 | Acc: 14.924% 
001  00118 |Loss: 2.268 | Acc: 15.023% 
001  00119 |Loss: 2.266 | Acc: 15.067% 
001  00120 |Loss: 2.265 | Acc: 15.182% 
001  00121 |Loss: 2.264 | Acc: 15.289% 
001  00122 |Loss: 2.262 | Acc: 15.330% 
001  00123 |Loss: 2.261 | Acc: 15.422% 
001  00124 |Loss: 2.260 | Acc: 15.461% 
001  00125 |Loss: 2.259 | Acc: 15.525% 
001  00126 |Loss: 2.257 | Acc: 15.613% 
001  00127 |Loss: 2.256 | Acc: 15.680% 
001  00128 |Loss: 2.254 | Acc: 15.717% 
001  00129 |Loss: 2.253 | Acc: 15.795% 
001  00130 |Loss: 2.252 | Acc: 15.841% 
001  00131 |Loss: 2.250 | Acc: 15.923% 
001  00132 |Loss: 2.249 | Acc: 15.951% 
001  00133 |Loss: 2.247 | Acc: 16.036% 
001  00134 |Loss: 2.246 | Acc: 16.062% 
001  00135 |Loss: 2.244 | Acc: 16.169% 
001  00136 |Loss: 2.243 | Acc: 16.240% 
001  00137 |Loss: 2.240 | Acc: 16.355% 
001  00138 |Loss: 2.239 | Acc: 16.446% 
001  00139 |Loss: 2.237 | Acc: 16.502% 
001  00140 |Loss: 2.236 | Acc: 16.529% 
001  00141 |Loss: 2.235 | Acc: 16.572% 
001  00142 |Loss: 2.233 | Acc: 16.632% 
001  00143 |Loss: 2.231 | Acc: 16.674% 
001  00144 |Loss: 2.230 | Acc: 16.726% 
001  00145 |Loss: 2.229 | Acc: 16.773% 
001  00146 |Loss: 2.228 | Acc: 16.850% 
001  00147 |Loss: 2.227 | Acc: 16.932% 
001  00148 |Loss: 2.226 | Acc: 16.982% 
001  00149 |Loss: 2.224 | Acc: 17.062% 
001  00150 |Loss: 2.222 | Acc: 17.151% 
001  00151 |Loss: 2.221 | Acc: 17.224% 
001  00152 |Loss: 2.220 | Acc: 17.290% 
001  00153 |Loss: 2.219 | Acc: 17.346% 
001  00154 |Loss: 2.217 | Acc: 17.416% 
001  00155 |Loss: 2.215 | Acc: 17.465% 
001  00156 |Loss: 2.214 | Acc: 17.523% 
001  00157 |Loss: 2.212 | Acc: 17.566% 
001  00158 |Loss: 2.210 | Acc: 17.647% 
001  00159 |Loss: 2.209 | Acc: 17.733% 
001  00160 |Loss: 2.208 | Acc: 17.754% 
001  00161 |Loss: 2.206 | Acc: 17.818% 
001  00162 |Loss: 2.204 | Acc: 17.877% 
001  00163 |Loss: 2.203 | Acc: 17.945% 
001  00164 |Loss: 2.202 | Acc: 18.040% 
001  00165 |Loss: 2.201 | Acc: 18.111% 
001  00166 |Loss: 2.198 | Acc: 18.171% 
001  00167 |Loss: 2.198 | Acc: 18.203% 
001  00168 |Loss: 2.197 | Acc: 18.266% 
001  00169 |Loss: 2.196 | Acc: 18.325% 
001  00170 |Loss: 2.195 | Acc: 18.364% 
001  00171 |Loss: 2.194 | Acc: 18.439% 
001  00172 |Loss: 2.193 | Acc: 18.500% 
001  00173 |Loss: 2.191 | Acc: 18.551% 
001  00174 |Loss: 2.189 | Acc: 18.615% 
001  00175 |Loss: 2.189 | Acc: 18.652% 
001  00176 |Loss: 2.188 | Acc: 18.706% 
001  00177 |Loss: 2.187 | Acc: 18.732% 
001  00178 |Loss: 2.186 | Acc: 18.763% 
001  00179 |Loss: 2.184 | Acc: 18.855% 
001  00180 |Loss: 2.183 | Acc: 18.872% 
001  00181 |Loss: 2.182 | Acc: 18.901% 
001  00182 |Loss: 2.181 | Acc: 18.969% 
001  00183 |Loss: 2.179 | Acc: 19.019% 
001  00184 |Loss: 2.178 | Acc: 19.081% 
001  00185 |Loss: 2.178 | Acc: 19.130% 
001  00186 |Loss: 2.176 | Acc: 19.191% 
001  00187 |Loss: 2.176 | Acc: 19.218% 
001  00188 |Loss: 2.174 | Acc: 19.315% 
001  00189 |Loss: 2.173 | Acc: 19.349% 
001  00190 |Loss: 2.173 | Acc: 19.391% 
001  00191 |Loss: 2.171 | Acc: 19.429% 
001  00192 |Loss: 2.171 | Acc: 19.446% 
001  00193 |Loss: 2.169 | Acc: 19.495% 
001  00194 |Loss: 2.168 | Acc: 19.563% 
001  00195 |Loss: 2.167 | Acc: 19.643% 
001  00196 |Loss: 2.166 | Acc: 19.687% 
001  00197 |Loss: 2.164 | Acc: 19.769% 
001  00198 |Loss: 2.164 | Acc: 19.800% 
001  00199 |Loss: 2.162 | Acc: 19.861% 
001  00200 |Loss: 2.161 | Acc: 19.906% 
001  00201 |Loss: 2.159 | Acc: 19.959% 
001  00202 |Loss: 2.158 | Acc: 20.015% 
001  00203 |Loss: 2.157 | Acc: 20.066% 
001  00204 |Loss: 2.157 | Acc: 20.075% 
001  00205 |Loss: 2.156 | Acc: 20.114% 
001  00206 |Loss: 2.155 | Acc: 20.191% 
001  00207 |Loss: 2.154 | Acc: 20.214% 
001  00208 |Loss: 2.152 | Acc: 20.282% 
001  00209 |Loss: 2.151 | Acc: 20.312% 
001  00210 |Loss: 2.150 | Acc: 20.353% 
001  00211 |Loss: 2.149 | Acc: 20.387% 
001  00212 |Loss: 2.148 | Acc: 20.430% 
001  00213 |Loss: 2.147 | Acc: 20.452% 
001  00214 |Loss: 2.146 | Acc: 20.495% 
001  00215 |Loss: 2.146 | Acc: 20.520% 
001  00216 |Loss: 2.144 | Acc: 20.584% 
001  00217 |Loss: 2.143 | Acc: 20.640% 
001  00218 |Loss: 2.143 | Acc: 20.660% 
001  00219 |Loss: 2.142 | Acc: 20.705% 
001  00220 |Loss: 2.140 | Acc: 20.767% 
001  00221 |Loss: 2.139 | Acc: 20.825% 
001  00222 |Loss: 2.138 | Acc: 20.872% 
001  00223 |Loss: 2.137 | Acc: 20.936% 
001  00224 |Loss: 2.136 | Acc: 20.972% 
001  00225 |Loss: 2.135 | Acc: 21.010% 
001  00226 |Loss: 2.134 | Acc: 21.025% 
001  00227 |Loss: 2.134 | Acc: 21.039% 
001  00228 |Loss: 2.133 | Acc: 21.035% 
001  00229 |Loss: 2.132 | Acc: 21.066% 
001  00230 |Loss: 2.131 | Acc: 21.090% 
001  00231 |Loss: 2.130 | Acc: 21.138% 
001  00232 |Loss: 2.129 | Acc: 21.185% 
001  00233 |Loss: 2.128 | Acc: 21.201% 
001  00234 |Loss: 2.127 | Acc: 21.217% 
001  00235 |Loss: 2.127 | Acc: 21.257% 
001  00236 |Loss: 2.126 | Acc: 21.289% 
001  00237 |Loss: 2.125 | Acc: 21.311% 
001  00238 |Loss: 2.124 | Acc: 21.320% 
001  00239 |Loss: 2.123 | Acc: 21.365% 
001  00240 |Loss: 2.122 | Acc: 21.410% 
001  00241 |Loss: 2.122 | Acc: 21.431% 
001  00242 |Loss: 2.120 | Acc: 21.497% 
001  00243 |Loss: 2.119 | Acc: 21.544% 
001  00244 |Loss: 2.119 | Acc: 21.596% 
