EPOCH=001,Accuracy= 68.320%
EPOCH=002,Accuracy= 73.910%
EPOCH=003,Accuracy= 78.610%
EPOCH=004,Accuracy= 78.120%
EPOCH=005,Accuracy= 77.520%
EPOCH=006,Accuracy= 81.040%
EPOCH=007,Accuracy= 82.160%
EPOCH=008,Accuracy= 83.260%
EPOCH=009,Accuracy= 82.250%
EPOCH=010,Accuracy= 81.560%
EPOCH=011,Accuracy= 83.090%
EPOCH=012,Accuracy= 80.980%
EPOCH=013,Accuracy= 82.080%
EPOCH=014,Accuracy= 79.800%
EPOCH=015,Accuracy= 82.790%
EPOCH=016,Accuracy= 80.110%
EPOCH=017,Accuracy= 82.570%
EPOCH=018,Accuracy= 82.270%
EPOCH=019,Accuracy= 82.640%
EPOCH=020,Accuracy= 83.450%
EPOCH=021,Accuracy= 82.450%
EPOCH=022,Accuracy= 82.240%
EPOCH=023,Accuracy= 81.900%
EPOCH=024,Accuracy= 82.450%
EPOCH=025,Accuracy= 82.360%
EPOCH=026,Accuracy= 83.370%
EPOCH=027,Accuracy= 82.400%
EPOCH=028,Accuracy= 83.060%
EPOCH=029,Accuracy= 83.030%
EPOCH=030,Accuracy= 83.090%
EPOCH=031,Accuracy= 82.040%
EPOCH=032,Accuracy= 82.100%
EPOCH=033,Accuracy= 82.740%
EPOCH=034,Accuracy= 82.850%
EPOCH=035,Accuracy= 82.480%
EPOCH=036,Accuracy= 82.030%
EPOCH=037,Accuracy= 83.460%
EPOCH=038,Accuracy= 82.450%
EPOCH=039,Accuracy= 83.650%
EPOCH=040,Accuracy= 81.290%
EPOCH=041,Accuracy= 83.710%
EPOCH=042,Accuracy= 83.460%
EPOCH=043,Accuracy= 84.340%
EPOCH=044,Accuracy= 82.540%
EPOCH=045,Accuracy= 82.790%
EPOCH=046,Accuracy= 83.110%
EPOCH=047,Accuracy= 83.840%
EPOCH=048,Accuracy= 84.680%
EPOCH=049,Accuracy= 83.010%
EPOCH=050,Accuracy= 83.590%
EPOCH=051,Accuracy= 81.490%
EPOCH=052,Accuracy= 82.640%
EPOCH=053,Accuracy= 83.670%
EPOCH=054,Accuracy= 83.330%
EPOCH=055,Accuracy= 83.610%
EPOCH=056,Accuracy= 84.320%
EPOCH=057,Accuracy= 84.090%
EPOCH=058,Accuracy= 84.070%
EPOCH=059,Accuracy= 82.140%
EPOCH=060,Accuracy= 81.850%
EPOCH=061,Accuracy= 81.540%
EPOCH=062,Accuracy= 82.950%
EPOCH=063,Accuracy= 83.530%
EPOCH=064,Accuracy= 83.550%
EPOCH=065,Accuracy= 81.960%
EPOCH=066,Accuracy= 83.660%
EPOCH=067,Accuracy= 82.580%
EPOCH=068,Accuracy= 83.870%
EPOCH=069,Accuracy= 84.060%
EPOCH=070,Accuracy= 83.320%
EPOCH=071,Accuracy= 83.290%
EPOCH=072,Accuracy= 83.110%
EPOCH=073,Accuracy= 83.560%
EPOCH=074,Accuracy= 82.160%
EPOCH=075,Accuracy= 84.400%
EPOCH=076,Accuracy= 84.870%
EPOCH=077,Accuracy= 84.950%
EPOCH=078,Accuracy= 85.040%
EPOCH=079,Accuracy= 82.650%
EPOCH=080,Accuracy= 81.230%
EPOCH=081,Accuracy= 82.880%
EPOCH=082,Accuracy= 82.970%
EPOCH=083,Accuracy= 84.910%
EPOCH=084,Accuracy= 85.840%
EPOCH=085,Accuracy= 86.030%
EPOCH=086,Accuracy= 87.220%
EPOCH=087,Accuracy= 87.440%
EPOCH=088,Accuracy= 87.700%
EPOCH=089,Accuracy= 87.710%
EPOCH=090,Accuracy= 87.810%
EPOCH=091,Accuracy= 87.850%
EPOCH=092,Accuracy= 87.920%
EPOCH=093,Accuracy= 87.980%
EPOCH=094,Accuracy= 88.080%
EPOCH=095,Accuracy= 88.150%
EPOCH=096,Accuracy= 88.480%
EPOCH=097,Accuracy= 88.330%
EPOCH=098,Accuracy= 88.460%
EPOCH=099,Accuracy= 88.500%
EPOCH=100,Accuracy= 88.270%
