EPOCH=001,Accuracy= 51.238%
EPOCH=002,Accuracy= 72.276%
EPOCH=003,Accuracy= 79.918%
EPOCH=004,Accuracy= 84.338%
EPOCH=005,Accuracy= 87.458%
EPOCH=006,Accuracy= 89.978%
EPOCH=007,Accuracy= 92.328%
EPOCH=008,Accuracy= 93.820%
EPOCH=009,Accuracy= 95.430%
EPOCH=010,Accuracy= 96.092%
EPOCH=011,Accuracy= 96.512%
EPOCH=012,Accuracy= 97.184%
EPOCH=013,Accuracy= 97.404%
EPOCH=014,Accuracy= 97.562%
EPOCH=015,Accuracy= 97.782%
EPOCH=016,Accuracy= 97.880%
EPOCH=017,Accuracy= 97.912%
EPOCH=018,Accuracy= 98.002%
EPOCH=019,Accuracy= 98.064%
EPOCH=020,Accuracy= 97.534%
EPOCH=021,Accuracy= 98.566%
EPOCH=022,Accuracy= 98.084%
EPOCH=023,Accuracy= 97.942%
EPOCH=024,Accuracy= 97.932%
EPOCH=025,Accuracy= 98.106%
EPOCH=026,Accuracy= 98.098%
EPOCH=027,Accuracy= 98.360%
EPOCH=028,Accuracy= 98.106%
EPOCH=029,Accuracy= 98.004%
EPOCH=030,Accuracy= 98.342%
EPOCH=031,Accuracy= 98.388%
EPOCH=032,Accuracy= 97.518%
EPOCH=033,Accuracy= 98.364%
EPOCH=034,Accuracy= 98.328%
EPOCH=035,Accuracy= 98.478%
EPOCH=036,Accuracy= 98.014%
EPOCH=037,Accuracy= 98.322%
EPOCH=038,Accuracy= 98.168%
EPOCH=039,Accuracy= 98.446%
EPOCH=040,Accuracy= 98.484%
EPOCH=041,Accuracy= 98.148%
EPOCH=042,Accuracy= 98.566%
EPOCH=043,Accuracy= 98.648%
EPOCH=044,Accuracy= 98.586%
EPOCH=045,Accuracy= 97.908%
EPOCH=046,Accuracy= 98.194%
EPOCH=047,Accuracy= 98.762%
EPOCH=048,Accuracy= 99.036%
EPOCH=049,Accuracy= 98.896%
EPOCH=050,Accuracy= 98.676%
EPOCH=051,Accuracy= 98.220%
EPOCH=052,Accuracy= 98.594%
EPOCH=053,Accuracy= 98.632%
EPOCH=054,Accuracy= 98.330%
EPOCH=055,Accuracy= 98.660%
EPOCH=056,Accuracy= 99.028%
EPOCH=057,Accuracy= 99.136%
EPOCH=058,Accuracy= 99.140%
EPOCH=059,Accuracy= 98.820%
EPOCH=060,Accuracy= 98.330%
EPOCH=061,Accuracy= 98.804%
EPOCH=062,Accuracy= 98.766%
EPOCH=063,Accuracy= 99.040%
EPOCH=064,Accuracy= 98.954%
EPOCH=065,Accuracy= 98.668%
EPOCH=066,Accuracy= 98.856%
EPOCH=067,Accuracy= 99.032%
EPOCH=068,Accuracy= 98.770%
EPOCH=069,Accuracy= 98.976%
EPOCH=070,Accuracy= 99.362%
EPOCH=071,Accuracy= 99.182%
EPOCH=072,Accuracy= 98.876%
EPOCH=073,Accuracy= 98.600%
EPOCH=074,Accuracy= 98.956%
EPOCH=075,Accuracy= 99.394%
EPOCH=076,Accuracy= 99.456%
EPOCH=077,Accuracy= 99.720%
EPOCH=078,Accuracy= 99.528%
EPOCH=079,Accuracy= 99.102%
EPOCH=080,Accuracy= 98.178%
EPOCH=081,Accuracy= 98.248%
EPOCH=082,Accuracy= 98.942%
EPOCH=083,Accuracy= 99.342%
EPOCH=084,Accuracy= 99.658%
EPOCH=085,Accuracy= 99.862%
EPOCH=086,Accuracy= 99.970%
EPOCH=087,Accuracy= 99.998%
EPOCH=088,Accuracy= 100.000%
EPOCH=089,Accuracy= 100.000%
EPOCH=090,Accuracy= 100.000%
EPOCH=091,Accuracy= 100.000%
EPOCH=092,Accuracy= 100.000%
EPOCH=093,Accuracy= 100.000%
EPOCH=094,Accuracy= 100.000%
EPOCH=095,Accuracy= 100.000%
EPOCH=096,Accuracy= 100.000%
EPOCH=097,Accuracy= 100.000%
EPOCH=098,Accuracy= 100.000%
EPOCH=099,Accuracy= 100.000%
EPOCH=100,Accuracy= 100.000%
