001  00001 |Loss: 2.526 | Acc: 7.812% 
001  00002 |Loss: 2.890 | Acc: 7.812% 
001  00003 |Loss: 3.508 | Acc: 6.771% 
001  00004 |Loss: 3.878 | Acc: 7.812% 
001  00005 |Loss: 4.242 | Acc: 9.531% 
001  00006 |Loss: 4.547 | Acc: 11.589% 
001  00007 |Loss: 4.950 | Acc: 11.496% 
001  00008 |Loss: 4.942 | Acc: 12.500% 
001  00009 |Loss: 4.822 | Acc: 13.021% 
001  00010 |Loss: 4.639 | Acc: 13.203% 
001  00011 |Loss: 4.589 | Acc: 13.068% 
001  00012 |Loss: 4.654 | Acc: 12.630% 
001  00013 |Loss: 4.609 | Acc: 12.740% 
001  00014 |Loss: 4.516 | Acc: 12.779% 
001  00015 |Loss: 4.498 | Acc: 12.656% 
001  00016 |Loss: 4.449 | Acc: 12.598% 
001  00017 |Loss: 4.345 | Acc: 12.408% 
001  00018 |Loss: 4.263 | Acc: 12.413% 
001  00019 |Loss: 4.210 | Acc: 12.459% 
001  00020 |Loss: 4.155 | Acc: 12.266% 
001  00021 |Loss: 4.105 | Acc: 12.165% 
001  00022 |Loss: 4.063 | Acc: 11.967% 
001  00023 |Loss: 4.009 | Acc: 11.787% 
001  00024 |Loss: 3.949 | Acc: 11.751% 
001  00025 |Loss: 3.889 | Acc: 11.625% 
001  00026 |Loss: 3.844 | Acc: 11.569% 
001  00027 |Loss: 3.807 | Acc: 11.632% 
001  00028 |Loss: 3.750 | Acc: 11.914% 
001  00029 |Loss: 3.727 | Acc: 11.880% 
001  00030 |Loss: 3.693 | Acc: 11.953% 
001  00031 |Loss: 3.651 | Acc: 11.996% 
001  00032 |Loss: 3.611 | Acc: 12.109% 
001  00033 |Loss: 3.573 | Acc: 12.027% 
001  00034 |Loss: 3.540 | Acc: 12.063% 
001  00035 |Loss: 3.507 | Acc: 12.188% 
001  00036 |Loss: 3.473 | Acc: 12.348% 
001  00037 |Loss: 3.442 | Acc: 12.352% 
001  00038 |Loss: 3.408 | Acc: 12.521% 
001  00039 |Loss: 3.382 | Acc: 12.620% 
001  00040 |Loss: 3.358 | Acc: 12.734% 
001  00041 |Loss: 3.333 | Acc: 12.824% 
001  00042 |Loss: 3.307 | Acc: 12.946% 
001  00043 |Loss: 3.281 | Acc: 13.081% 
001  00044 |Loss: 3.259 | Acc: 13.139% 
001  00045 |Loss: 3.234 | Acc: 13.281% 
001  00046 |Loss: 3.217 | Acc: 13.400% 
001  00047 |Loss: 3.194 | Acc: 13.597% 
001  00048 |Loss: 3.174 | Acc: 13.704% 
001  00049 |Loss: 3.154 | Acc: 13.823% 
001  00050 |Loss: 3.133 | Acc: 13.922% 
001  00051 |Loss: 3.115 | Acc: 13.986% 
001  00052 |Loss: 3.099 | Acc: 14.093% 
001  00053 |Loss: 3.079 | Acc: 14.239% 
001  00054 |Loss: 3.061 | Acc: 14.337% 
001  00055 |Loss: 3.044 | Acc: 14.531% 
001  00056 |Loss: 3.027 | Acc: 14.690% 
001  00057 |Loss: 3.011 | Acc: 14.762% 
001  00058 |Loss: 2.996 | Acc: 14.871% 
001  00059 |Loss: 2.982 | Acc: 14.936% 
001  00060 |Loss: 2.968 | Acc: 15.039% 
001  00061 |Loss: 2.954 | Acc: 15.074% 
001  00062 |Loss: 2.939 | Acc: 15.247% 
001  00063 |Loss: 2.926 | Acc: 15.377% 
001  00064 |Loss: 2.912 | Acc: 15.466% 
001  00065 |Loss: 2.898 | Acc: 15.661% 
001  00066 |Loss: 2.886 | Acc: 15.826% 
001  00067 |Loss: 2.874 | Acc: 15.882% 
001  00068 |Loss: 2.862 | Acc: 15.958% 
001  00069 |Loss: 2.850 | Acc: 15.931% 
001  00070 |Loss: 2.840 | Acc: 15.982% 
001  00071 |Loss: 2.829 | Acc: 16.098% 
001  00072 |Loss: 2.819 | Acc: 16.178% 
001  00073 |Loss: 2.808 | Acc: 16.331% 
001  00074 |Loss: 2.798 | Acc: 16.375% 
001  00075 |Loss: 2.787 | Acc: 16.542% 
001  00076 |Loss: 2.778 | Acc: 16.612% 
001  00077 |Loss: 2.770 | Acc: 16.650% 
001  00078 |Loss: 2.760 | Acc: 16.687% 
001  00079 |Loss: 2.751 | Acc: 16.782% 
001  00080 |Loss: 2.740 | Acc: 16.943% 
001  00081 |Loss: 2.732 | Acc: 17.052% 
001  00082 |Loss: 2.723 | Acc: 17.216% 
001  00083 |Loss: 2.715 | Acc: 17.348% 
001  00084 |Loss: 2.706 | Acc: 17.550% 
001  00085 |Loss: 2.698 | Acc: 17.684% 
001  00086 |Loss: 2.691 | Acc: 17.714% 
001  00087 |Loss: 2.682 | Acc: 17.807% 
001  00088 |Loss: 2.674 | Acc: 17.987% 
001  00089 |Loss: 2.666 | Acc: 18.092% 
001  00090 |Loss: 2.658 | Acc: 18.151% 
001  00091 |Loss: 2.652 | Acc: 18.209% 
001  00092 |Loss: 2.644 | Acc: 18.266% 
001  00093 |Loss: 2.636 | Acc: 18.372% 
001  00094 |Loss: 2.629 | Acc: 18.509% 
001  00095 |Loss: 2.622 | Acc: 18.602% 
001  00096 |Loss: 2.615 | Acc: 18.693% 
001  00097 |Loss: 2.607 | Acc: 18.822% 
001  00098 |Loss: 2.600 | Acc: 18.878% 
001  00099 |Loss: 2.594 | Acc: 18.987% 
001  00100 |Loss: 2.587 | Acc: 19.078% 
001  00101 |Loss: 2.580 | Acc: 19.183% 
001  00102 |Loss: 2.574 | Acc: 19.347% 
001  00103 |Loss: 2.568 | Acc: 19.433% 
001  00104 |Loss: 2.563 | Acc: 19.524% 
001  00105 |Loss: 2.556 | Acc: 19.635% 
001  00106 |Loss: 2.551 | Acc: 19.730% 
001  00107 |Loss: 2.548 | Acc: 19.743% 
001  00108 |Loss: 2.542 | Acc: 19.792% 
001  00109 |Loss: 2.537 | Acc: 19.839% 
001  00110 |Loss: 2.532 | Acc: 19.915% 
001  00111 |Loss: 2.527 | Acc: 19.968% 
001  00112 |Loss: 2.522 | Acc: 20.013% 
001  00113 |Loss: 2.517 | Acc: 20.077% 
001  00114 |Loss: 2.511 | Acc: 20.175% 
001  00115 |Loss: 2.506 | Acc: 20.258% 
001  00116 |Loss: 2.502 | Acc: 20.306% 
001  00117 |Loss: 2.497 | Acc: 20.366% 
001  00118 |Loss: 2.493 | Acc: 20.372% 
001  00119 |Loss: 2.489 | Acc: 20.457% 
001  00120 |Loss: 2.484 | Acc: 20.508% 
001  00121 |Loss: 2.479 | Acc: 20.577% 
001  00122 |Loss: 2.474 | Acc: 20.645% 
001  00123 |Loss: 2.470 | Acc: 20.687% 
001  00124 |Loss: 2.465 | Acc: 20.772% 
001  00125 |Loss: 2.461 | Acc: 20.844% 
001  00126 |Loss: 2.456 | Acc: 20.926% 
001  00127 |Loss: 2.451 | Acc: 20.946% 
001  00128 |Loss: 2.447 | Acc: 20.990% 
001  00129 |Loss: 2.442 | Acc: 21.076% 
001  00130 |Loss: 2.437 | Acc: 21.178% 
001  00131 |Loss: 2.433 | Acc: 21.237% 
