001  00001 |Loss: 2.404 | Acc: 6.250% 
001  00002 |Loss: 4.514 | Acc: 11.328% 
001  00003 |Loss: 6.987 | Acc: 12.370% 
001  00004 |Loss: 8.714 | Acc: 11.914% 
001  00005 |Loss: 11.323 | Acc: 11.406% 
001  00006 |Loss: 11.315 | Acc: 11.198% 
001  00007 |Loss: 11.308 | Acc: 10.491% 
001  00008 |Loss: 11.573 | Acc: 10.352% 
001  00009 |Loss: 12.564 | Acc: 10.200% 
001  00010 |Loss: 12.351 | Acc: 10.000% 
001  00011 |Loss: 12.636 | Acc: 10.263% 
001  00012 |Loss: 12.104 | Acc: 10.189% 
001  00013 |Loss: 11.946 | Acc: 10.006% 
001  00014 |Loss: 11.725 | Acc: 10.212% 
001  00015 |Loss: 11.736 | Acc: 9.974% 
001  00016 |Loss: 11.541 | Acc: 10.059% 
001  00017 |Loss: 11.248 | Acc: 9.903% 
001  00018 |Loss: 10.869 | Acc: 9.852% 
001  00019 |Loss: 10.664 | Acc: 9.951% 
001  00020 |Loss: 10.313 | Acc: 9.961% 
001  00021 |Loss: 10.092 | Acc: 9.821% 
001  00022 |Loss: 9.876 | Acc: 9.837% 
001  00023 |Loss: 9.650 | Acc: 9.664% 
001  00024 |Loss: 9.362 | Acc: 9.603% 
001  00025 |Loss: 9.097 | Acc: 9.578% 
001  00026 |Loss: 8.847 | Acc: 9.736% 
001  00027 |Loss: 8.620 | Acc: 9.766% 
001  00028 |Loss: 8.420 | Acc: 9.807% 
001  00029 |Loss: 8.244 | Acc: 9.779% 
001  00030 |Loss: 8.068 | Acc: 9.896% 
001  00031 |Loss: 7.894 | Acc: 9.892% 
001  00032 |Loss: 7.740 | Acc: 9.851% 
001  00033 |Loss: 7.588 | Acc: 9.789% 
001  00034 |Loss: 7.438 | Acc: 9.720% 
001  00035 |Loss: 7.303 | Acc: 9.810% 
001  00036 |Loss: 7.177 | Acc: 9.776% 
001  00037 |Loss: 7.051 | Acc: 9.818% 
001  00038 |Loss: 6.929 | Acc: 9.868% 
001  00039 |Loss: 6.813 | Acc: 9.896% 
001  00040 |Loss: 6.703 | Acc: 9.912% 
001  00041 |Loss: 6.598 | Acc: 9.899% 
001  00042 |Loss: 6.505 | Acc: 9.933% 
001  00043 |Loss: 6.414 | Acc: 9.866% 
001  00044 |Loss: 6.322 | Acc: 9.881% 
001  00045 |Loss: 6.244 | Acc: 9.826% 
001  00046 |Loss: 6.164 | Acc: 9.842% 
001  00047 |Loss: 6.088 | Acc: 9.973% 
001  00048 |Loss: 6.011 | Acc: 9.977% 
001  00049 |Loss: 5.942 | Acc: 10.029% 
001  00050 |Loss: 5.874 | Acc: 10.016% 
001  00051 |Loss: 5.805 | Acc: 10.011% 
001  00052 |Loss: 5.740 | Acc: 9.998% 
001  00053 |Loss: 5.690 | Acc: 10.016% 
001  00054 |Loss: 5.627 | Acc: 10.019% 
001  00055 |Loss: 5.568 | Acc: 10.014% 
001  00056 |Loss: 5.512 | Acc: 10.031% 
001  00057 |Loss: 5.457 | Acc: 9.992% 
001  00058 |Loss: 5.409 | Acc: 10.015% 
001  00059 |Loss: 5.357 | Acc: 10.037% 
001  00060 |Loss: 5.309 | Acc: 10.039% 
001  00061 |Loss: 5.263 | Acc: 10.022% 
001  00062 |Loss: 5.222 | Acc: 10.043% 
001  00063 |Loss: 5.179 | Acc: 10.038% 
001  00064 |Loss: 5.137 | Acc: 10.028% 
001  00065 |Loss: 5.095 | Acc: 10.042% 
001  00066 |Loss: 5.054 | Acc: 10.050% 
001  00067 |Loss: 5.012 | Acc: 10.063% 
001  00068 |Loss: 4.975 | Acc: 10.070% 
001  00069 |Loss: 4.937 | Acc: 10.139% 
001  00070 |Loss: 4.900 | Acc: 10.145% 
001  00071 |Loss: 4.865 | Acc: 10.162% 
001  00072 |Loss: 4.831 | Acc: 10.183% 
001  00073 |Loss: 4.800 | Acc: 10.167% 
001  00074 |Loss: 4.766 | Acc: 10.235% 
001  00075 |Loss: 4.736 | Acc: 10.203% 
001  00076 |Loss: 4.705 | Acc: 10.187% 
001  00077 |Loss: 4.674 | Acc: 10.171% 
001  00078 |Loss: 4.645 | Acc: 10.176% 
001  00079 |Loss: 4.616 | Acc: 10.127% 
001  00080 |Loss: 4.588 | Acc: 10.166% 
001  00081 |Loss: 4.559 | Acc: 10.156% 
001  00082 |Loss: 4.533 | Acc: 10.137% 
001  00083 |Loss: 4.506 | Acc: 10.133% 
001  00084 |Loss: 4.483 | Acc: 10.138% 
001  00085 |Loss: 4.458 | Acc: 10.188% 
001  00086 |Loss: 4.434 | Acc: 10.197% 
001  00087 |Loss: 4.409 | Acc: 10.224% 
001  00088 |Loss: 4.384 | Acc: 10.254% 
001  00089 |Loss: 4.361 | Acc: 10.279% 
001  00090 |Loss: 4.338 | Acc: 10.330% 
001  00091 |Loss: 4.318 | Acc: 10.337% 
001  00092 |Loss: 4.296 | Acc: 10.390% 
001  00093 |Loss: 4.280 | Acc: 10.400% 
001  00094 |Loss: 4.259 | Acc: 10.389% 
001  00095 |Loss: 4.238 | Acc: 10.407% 
001  00096 |Loss: 4.219 | Acc: 10.396% 
001  00097 |Loss: 4.200 | Acc: 10.382% 
001  00098 |Loss: 4.181 | Acc: 10.375% 
001  00099 |Loss: 4.162 | Acc: 10.393% 
001  00100 |Loss: 4.144 | Acc: 10.387% 
001  00101 |Loss: 4.126 | Acc: 10.419% 
