001  00001 |Loss: 2.462 | Acc: 7.812% 
001  00002 |Loss: 7.839 | Acc: 7.422% 
001  00003 |Loss: 11.252 | Acc: 8.594% 
001  00004 |Loss: 11.760 | Acc: 9.180% 
001  00005 |Loss: 13.997 | Acc: 9.688% 
001  00006 |Loss: 16.192 | Acc: 9.766% 
001  00007 |Loss: 17.142 | Acc: 10.156% 
001  00008 |Loss: 16.342 | Acc: 10.156% 
001  00009 |Loss: 15.183 | Acc: 10.503% 
001  00010 |Loss: 14.158 | Acc: 10.312% 
001  00011 |Loss: 13.472 | Acc: 9.943% 
001  00012 |Loss: 12.901 | Acc: 10.091% 
001  00013 |Loss: 12.508 | Acc: 9.856% 
001  00014 |Loss: 12.105 | Acc: 9.710% 
001  00015 |Loss: 12.024 | Acc: 9.948% 
001  00016 |Loss: 11.919 | Acc: 10.156% 
001  00017 |Loss: 11.665 | Acc: 10.340% 
001  00018 |Loss: 11.186 | Acc: 10.373% 
001  00019 |Loss: 10.947 | Acc: 10.321% 
001  00020 |Loss: 10.565 | Acc: 10.391% 
001  00021 |Loss: 10.218 | Acc: 10.528% 
001  00022 |Loss: 10.000 | Acc: 10.334% 
001  00023 |Loss: 9.864 | Acc: 10.292% 
001  00024 |Loss: 9.577 | Acc: 10.319% 
001  00025 |Loss: 9.333 | Acc: 10.312% 
001  00026 |Loss: 9.071 | Acc: 10.216% 
001  00027 |Loss: 8.848 | Acc: 10.272% 
001  00028 |Loss: 8.684 | Acc: 10.073% 
001  00029 |Loss: 8.493 | Acc: 10.129% 
001  00030 |Loss: 8.292 | Acc: 10.182% 
001  00031 |Loss: 8.105 | Acc: 10.257% 
001  00032 |Loss: 7.968 | Acc: 10.449% 
001  00033 |Loss: 7.803 | Acc: 10.417% 
001  00034 |Loss: 7.654 | Acc: 10.294% 
001  00035 |Loss: 7.513 | Acc: 10.201% 
001  00036 |Loss: 7.376 | Acc: 10.178% 
001  00037 |Loss: 7.244 | Acc: 10.304% 
001  00038 |Loss: 7.116 | Acc: 10.280% 
001  00039 |Loss: 6.999 | Acc: 10.196% 
001  00040 |Loss: 6.890 | Acc: 10.234% 
001  00041 |Loss: 6.781 | Acc: 10.347% 
001  00042 |Loss: 6.675 | Acc: 10.231% 
001  00043 |Loss: 6.581 | Acc: 10.247% 
001  00044 |Loss: 6.494 | Acc: 10.281% 
001  00045 |Loss: 6.408 | Acc: 10.174% 
001  00046 |Loss: 6.328 | Acc: 10.139% 
001  00047 |Loss: 6.251 | Acc: 10.073% 
001  00048 |Loss: 6.172 | Acc: 10.059% 
001  00049 |Loss: 6.093 | Acc: 10.092% 
001  00050 |Loss: 6.021 | Acc: 10.047% 
001  00051 |Loss: 5.962 | Acc: 10.034% 
001  00052 |Loss: 5.895 | Acc: 10.021% 
001  00053 |Loss: 5.827 | Acc: 10.053% 
001  00054 |Loss: 5.762 | Acc: 10.113% 
001  00055 |Loss: 5.702 | Acc: 10.099% 
001  00056 |Loss: 5.644 | Acc: 10.003% 
001  00057 |Loss: 5.587 | Acc: 10.060% 
001  00058 |Loss: 5.542 | Acc: 10.089% 
001  00059 |Loss: 5.496 | Acc: 10.156% 
001  00060 |Loss: 5.447 | Acc: 10.117% 
001  00061 |Loss: 5.397 | Acc: 10.169% 
001  00062 |Loss: 5.349 | Acc: 10.144% 
001  00063 |Loss: 5.306 | Acc: 10.193% 
001  00064 |Loss: 5.260 | Acc: 10.168% 
001  00065 |Loss: 5.217 | Acc: 10.132% 
001  00066 |Loss: 5.174 | Acc: 10.156% 
001  00067 |Loss: 5.133 | Acc: 10.191% 
001  00068 |Loss: 5.104 | Acc: 10.283% 
001  00069 |Loss: 5.081 | Acc: 10.258% 
001  00070 |Loss: 5.044 | Acc: 10.234% 
001  00071 |Loss: 5.007 | Acc: 10.233% 
001  00072 |Loss: 4.971 | Acc: 10.221% 
001  00073 |Loss: 4.935 | Acc: 10.188% 
001  00074 |Loss: 4.902 | Acc: 10.198% 
001  00075 |Loss: 4.869 | Acc: 10.167% 
001  00076 |Loss: 4.838 | Acc: 10.084% 
001  00077 |Loss: 4.806 | Acc: 10.085% 
001  00078 |Loss: 4.774 | Acc: 10.086% 
001  00079 |Loss: 4.743 | Acc: 10.117% 
001  00080 |Loss: 4.715 | Acc: 10.146% 
001  00081 |Loss: 4.686 | Acc: 10.176% 
001  00082 |Loss: 4.656 | Acc: 10.137% 
001  00083 |Loss: 4.629 | Acc: 10.109% 
001  00084 |Loss: 4.602 | Acc: 10.156% 
001  00085 |Loss: 4.574 | Acc: 10.202% 
001  00086 |Loss: 4.547 | Acc: 10.220% 
001  00087 |Loss: 4.522 | Acc: 10.282% 
001  00088 |Loss: 4.498 | Acc: 10.316% 
001  00089 |Loss: 4.476 | Acc: 10.341% 
001  00090 |Loss: 4.452 | Acc: 10.295% 
001  00091 |Loss: 4.430 | Acc: 10.268% 
001  00092 |Loss: 4.413 | Acc: 10.301% 
001  00093 |Loss: 4.391 | Acc: 10.358% 
001  00094 |Loss: 4.369 | Acc: 10.339% 
001  00095 |Loss: 4.348 | Acc: 10.354% 
001  00096 |Loss: 4.327 | Acc: 10.319% 
001  00097 |Loss: 4.308 | Acc: 10.325% 
