EPOCH=001,Accuracy= 53.730%
EPOCH=002,Accuracy= 60.610%
EPOCH=003,Accuracy= 64.630%
EPOCH=004,Accuracy= 69.420%
EPOCH=005,Accuracy= 70.940%
EPOCH=006,Accuracy= 71.010%
EPOCH=007,Accuracy= 68.710%
EPOCH=008,Accuracy= 68.500%
EPOCH=009,Accuracy= 71.190%
EPOCH=010,Accuracy= 74.480%
EPOCH=011,Accuracy= 75.110%
EPOCH=012,Accuracy= 75.160%
EPOCH=013,Accuracy= 75.330%
EPOCH=014,Accuracy= 75.310%
EPOCH=015,Accuracy= 75.220%
EPOCH=016,Accuracy= 75.250%
EPOCH=017,Accuracy= 75.140%
EPOCH=018,Accuracy= 75.160%
EPOCH=019,Accuracy= 75.310%
EPOCH=020,Accuracy= 75.310%
EPOCH=021,Accuracy= 75.230%
EPOCH=022,Accuracy= 75.240%
EPOCH=023,Accuracy= 75.090%
EPOCH=024,Accuracy= 75.210%
EPOCH=025,Accuracy= 75.270%
EPOCH=026,Accuracy= 75.180%
EPOCH=027,Accuracy= 75.220%
EPOCH=028,Accuracy= 75.090%
EPOCH=029,Accuracy= 75.240%
EPOCH=030,Accuracy= 75.180%
EPOCH=031,Accuracy= 74.990%
EPOCH=032,Accuracy= 75.220%
EPOCH=033,Accuracy= 75.190%
EPOCH=034,Accuracy= 75.140%
EPOCH=035,Accuracy= 75.140%
EPOCH=036,Accuracy= 75.190%
EPOCH=037,Accuracy= 75.300%
EPOCH=038,Accuracy= 75.100%
EPOCH=039,Accuracy= 75.190%
EPOCH=040,Accuracy= 75.060%
EPOCH=041,Accuracy= 75.020%
EPOCH=042,Accuracy= 75.070%
EPOCH=043,Accuracy= 74.980%
EPOCH=044,Accuracy= 75.100%
EPOCH=045,Accuracy= 75.070%
EPOCH=046,Accuracy= 75.050%
EPOCH=047,Accuracy= 74.870%
EPOCH=048,Accuracy= 74.950%
EPOCH=049,Accuracy= 75.090%
EPOCH=050,Accuracy= 75.070%
EPOCH=051,Accuracy= 75.010%
EPOCH=052,Accuracy= 75.100%
EPOCH=053,Accuracy= 75.030%
EPOCH=054,Accuracy= 75.050%
EPOCH=055,Accuracy= 75.020%
EPOCH=056,Accuracy= 74.850%
EPOCH=057,Accuracy= 74.960%
EPOCH=058,Accuracy= 74.950%
EPOCH=059,Accuracy= 75.020%
EPOCH=060,Accuracy= 74.850%
EPOCH=061,Accuracy= 74.920%
EPOCH=062,Accuracy= 74.880%
EPOCH=063,Accuracy= 75.110%
EPOCH=064,Accuracy= 75.040%
EPOCH=065,Accuracy= 75.210%
EPOCH=066,Accuracy= 75.060%
EPOCH=067,Accuracy= 74.930%
EPOCH=068,Accuracy= 74.930%
EPOCH=069,Accuracy= 74.790%
EPOCH=070,Accuracy= 75.120%
EPOCH=071,Accuracy= 74.820%
EPOCH=072,Accuracy= 74.790%
EPOCH=073,Accuracy= 74.930%
EPOCH=074,Accuracy= 74.870%
EPOCH=075,Accuracy= 74.980%
EPOCH=076,Accuracy= 74.810%
EPOCH=077,Accuracy= 74.930%
EPOCH=078,Accuracy= 74.790%
EPOCH=079,Accuracy= 75.080%
EPOCH=080,Accuracy= 74.920%
EPOCH=081,Accuracy= 74.810%
EPOCH=082,Accuracy= 74.960%
EPOCH=083,Accuracy= 74.880%
EPOCH=084,Accuracy= 74.910%
EPOCH=085,Accuracy= 74.910%
EPOCH=086,Accuracy= 75.050%
EPOCH=087,Accuracy= 74.860%
EPOCH=088,Accuracy= 74.850%
EPOCH=089,Accuracy= 74.960%
EPOCH=090,Accuracy= 74.760%
EPOCH=091,Accuracy= 74.910%
EPOCH=092,Accuracy= 75.030%
EPOCH=093,Accuracy= 75.080%
EPOCH=094,Accuracy= 74.700%
EPOCH=095,Accuracy= 74.990%
EPOCH=096,Accuracy= 74.810%
EPOCH=097,Accuracy= 74.850%
EPOCH=098,Accuracy= 74.800%
EPOCH=099,Accuracy= 74.840%
EPOCH=100,Accuracy= 74.890%
