EPOCH=001,Accuracy= 12.274%
EPOCH=002,Accuracy= 31.248%
EPOCH=003,Accuracy= 43.706%
EPOCH=004,Accuracy= 53.788%
EPOCH=005,Accuracy= 59.442%
EPOCH=006,Accuracy= 63.818%
EPOCH=007,Accuracy= 65.730%
EPOCH=008,Accuracy= 67.730%
EPOCH=009,Accuracy= 67.784%
EPOCH=010,Accuracy= 68.850%
EPOCH=011,Accuracy= 69.030%
EPOCH=012,Accuracy= 68.750%
EPOCH=013,Accuracy= 69.452%
EPOCH=014,Accuracy= 69.604%
EPOCH=015,Accuracy= 69.390%
EPOCH=016,Accuracy= 70.144%
EPOCH=017,Accuracy= 70.370%
EPOCH=018,Accuracy= 70.242%
EPOCH=019,Accuracy= 70.262%
EPOCH=020,Accuracy= 70.196%
EPOCH=021,Accuracy= 70.140%
EPOCH=022,Accuracy= 70.450%
EPOCH=023,Accuracy= 70.156%
EPOCH=024,Accuracy= 70.882%
EPOCH=025,Accuracy= 70.084%
EPOCH=026,Accuracy= 70.242%
EPOCH=027,Accuracy= 70.294%
EPOCH=028,Accuracy= 70.666%
EPOCH=029,Accuracy= 70.702%
EPOCH=030,Accuracy= 70.576%
EPOCH=031,Accuracy= 70.734%
EPOCH=032,Accuracy= 70.738%
EPOCH=033,Accuracy= 71.138%
EPOCH=034,Accuracy= 70.842%
EPOCH=035,Accuracy= 70.710%
EPOCH=036,Accuracy= 71.024%
EPOCH=037,Accuracy= 71.292%
EPOCH=038,Accuracy= 71.030%
EPOCH=039,Accuracy= 70.924%
EPOCH=040,Accuracy= 71.052%
EPOCH=041,Accuracy= 71.256%
EPOCH=042,Accuracy= 71.492%
EPOCH=043,Accuracy= 71.438%
EPOCH=044,Accuracy= 71.394%
EPOCH=045,Accuracy= 71.700%
EPOCH=046,Accuracy= 71.490%
EPOCH=047,Accuracy= 72.036%
EPOCH=048,Accuracy= 71.330%
EPOCH=049,Accuracy= 71.936%
EPOCH=050,Accuracy= 71.412%
EPOCH=051,Accuracy= 71.716%
EPOCH=052,Accuracy= 71.796%
EPOCH=053,Accuracy= 72.370%
EPOCH=054,Accuracy= 72.164%
EPOCH=055,Accuracy= 71.894%
EPOCH=056,Accuracy= 72.396%
EPOCH=057,Accuracy= 72.318%
EPOCH=058,Accuracy= 72.336%
EPOCH=059,Accuracy= 72.502%
EPOCH=060,Accuracy= 72.784%
EPOCH=061,Accuracy= 72.402%
EPOCH=062,Accuracy= 72.888%
EPOCH=063,Accuracy= 72.722%
EPOCH=064,Accuracy= 72.574%
EPOCH=065,Accuracy= 72.946%
EPOCH=066,Accuracy= 72.972%
EPOCH=067,Accuracy= 72.908%
EPOCH=068,Accuracy= 73.390%
EPOCH=069,Accuracy= 73.334%
EPOCH=070,Accuracy= 73.460%
EPOCH=071,Accuracy= 73.394%
EPOCH=072,Accuracy= 73.704%
EPOCH=073,Accuracy= 73.730%
EPOCH=074,Accuracy= 73.862%
EPOCH=075,Accuracy= 73.980%
EPOCH=076,Accuracy= 73.766%
EPOCH=077,Accuracy= 74.274%
EPOCH=078,Accuracy= 74.390%
EPOCH=079,Accuracy= 74.480%
EPOCH=080,Accuracy= 74.786%
EPOCH=081,Accuracy= 74.548%
EPOCH=082,Accuracy= 75.022%
EPOCH=083,Accuracy= 74.802%
EPOCH=084,Accuracy= 75.130%
EPOCH=085,Accuracy= 75.356%
EPOCH=086,Accuracy= 75.718%
EPOCH=087,Accuracy= 75.326%
EPOCH=088,Accuracy= 75.544%
EPOCH=089,Accuracy= 75.690%
EPOCH=090,Accuracy= 76.238%
EPOCH=091,Accuracy= 76.342%
EPOCH=092,Accuracy= 76.098%
EPOCH=093,Accuracy= 76.090%
EPOCH=094,Accuracy= 76.742%
EPOCH=095,Accuracy= 76.398%
EPOCH=096,Accuracy= 76.222%
EPOCH=097,Accuracy= 76.680%
EPOCH=098,Accuracy= 77.310%
EPOCH=099,Accuracy= 76.992%
EPOCH=100,Accuracy= 77.168%
