EPOCH=001,Accuracy= 55.010%
EPOCH=002,Accuracy= 73.750%
EPOCH=003,Accuracy= 79.190%
EPOCH=004,Accuracy= 82.040%
EPOCH=005,Accuracy= 83.960%
EPOCH=006,Accuracy= 85.330%
EPOCH=007,Accuracy= 85.460%
EPOCH=008,Accuracy= 86.520%
EPOCH=009,Accuracy= 86.860%
EPOCH=010,Accuracy= 87.410%
EPOCH=011,Accuracy= 87.160%
EPOCH=012,Accuracy= 89.270%
EPOCH=013,Accuracy= 88.730%
EPOCH=014,Accuracy= 86.960%
EPOCH=015,Accuracy= 88.630%
EPOCH=016,Accuracy= 89.440%
EPOCH=017,Accuracy= 88.920%
EPOCH=018,Accuracy= 90.830%
EPOCH=019,Accuracy= 90.190%
EPOCH=020,Accuracy= 89.860%
EPOCH=021,Accuracy= 90.150%
EPOCH=022,Accuracy= 89.720%
EPOCH=023,Accuracy= 90.290%
EPOCH=024,Accuracy= 90.540%
EPOCH=025,Accuracy= 90.680%
EPOCH=026,Accuracy= 90.020%
EPOCH=027,Accuracy= 89.970%
EPOCH=028,Accuracy= 90.680%
EPOCH=029,Accuracy= 90.500%
EPOCH=030,Accuracy= 91.480%
EPOCH=031,Accuracy= 89.830%
EPOCH=032,Accuracy= 90.280%
EPOCH=033,Accuracy= 90.720%
EPOCH=034,Accuracy= 91.030%
EPOCH=035,Accuracy= 90.660%
EPOCH=036,Accuracy= 91.000%
EPOCH=037,Accuracy= 90.970%
EPOCH=038,Accuracy= 91.250%
EPOCH=039,Accuracy= 90.420%
EPOCH=040,Accuracy= 91.510%
EPOCH=041,Accuracy= 90.910%
EPOCH=042,Accuracy= 91.330%
EPOCH=043,Accuracy= 91.120%
EPOCH=044,Accuracy= 91.330%
EPOCH=045,Accuracy= 91.150%
EPOCH=046,Accuracy= 91.540%
EPOCH=047,Accuracy= 91.540%
EPOCH=048,Accuracy= 92.030%
EPOCH=049,Accuracy= 92.060%
EPOCH=050,Accuracy= 91.260%
EPOCH=051,Accuracy= 91.340%
