EPOCH=001,Accuracy= 48.190%
EPOCH=002,Accuracy= 61.650%
EPOCH=003,Accuracy= 61.500%
EPOCH=004,Accuracy= 72.750%
EPOCH=005,Accuracy= 72.140%
EPOCH=006,Accuracy= 76.220%
EPOCH=007,Accuracy= 77.680%
EPOCH=008,Accuracy= 77.290%
EPOCH=009,Accuracy= 80.860%
EPOCH=010,Accuracy= 79.560%
EPOCH=011,Accuracy= 78.390%
EPOCH=012,Accuracy= 76.500%
EPOCH=013,Accuracy= 65.340%
EPOCH=014,Accuracy= 83.340%
EPOCH=015,Accuracy= 79.470%
EPOCH=016,Accuracy= 81.410%
EPOCH=017,Accuracy= 81.680%
EPOCH=018,Accuracy= 82.290%
EPOCH=019,Accuracy= 80.160%
EPOCH=020,Accuracy= 80.840%
EPOCH=021,Accuracy= 77.060%
EPOCH=022,Accuracy= 81.770%
EPOCH=023,Accuracy= 83.830%
EPOCH=024,Accuracy= 81.350%
EPOCH=025,Accuracy= 81.850%
EPOCH=026,Accuracy= 82.820%
EPOCH=027,Accuracy= 79.650%
EPOCH=028,Accuracy= 81.030%
EPOCH=029,Accuracy= 85.620%
EPOCH=030,Accuracy= 84.430%
EPOCH=031,Accuracy= 84.200%
EPOCH=032,Accuracy= 85.420%
EPOCH=033,Accuracy= 80.200%
EPOCH=034,Accuracy= 85.490%
EPOCH=035,Accuracy= 84.200%
EPOCH=036,Accuracy= 83.910%
EPOCH=037,Accuracy= 85.510%
EPOCH=038,Accuracy= 83.560%
EPOCH=039,Accuracy= 84.950%
EPOCH=040,Accuracy= 86.300%
EPOCH=041,Accuracy= 83.370%
EPOCH=042,Accuracy= 84.560%
EPOCH=043,Accuracy= 83.890%
EPOCH=044,Accuracy= 84.600%
EPOCH=045,Accuracy= 85.550%
EPOCH=046,Accuracy= 82.720%
EPOCH=047,Accuracy= 83.610%
EPOCH=048,Accuracy= 84.510%
EPOCH=049,Accuracy= 85.440%
EPOCH=050,Accuracy= 86.380%
EPOCH=051,Accuracy= 87.760%
EPOCH=052,Accuracy= 80.660%
EPOCH=053,Accuracy= 84.720%
EPOCH=054,Accuracy= 85.040%
EPOCH=055,Accuracy= 84.810%
EPOCH=056,Accuracy= 82.740%
EPOCH=057,Accuracy= 86.430%
EPOCH=058,Accuracy= 85.640%
EPOCH=059,Accuracy= 86.400%
EPOCH=060,Accuracy= 84.710%
EPOCH=061,Accuracy= 86.760%
EPOCH=062,Accuracy= 87.410%
EPOCH=063,Accuracy= 83.650%
EPOCH=064,Accuracy= 85.670%
EPOCH=065,Accuracy= 88.040%
EPOCH=066,Accuracy= 85.080%
EPOCH=067,Accuracy= 85.350%
EPOCH=068,Accuracy= 86.210%
EPOCH=069,Accuracy= 87.440%
EPOCH=070,Accuracy= 83.800%
EPOCH=071,Accuracy= 84.940%
EPOCH=072,Accuracy= 85.690%
EPOCH=073,Accuracy= 80.730%
EPOCH=074,Accuracy= 86.510%
EPOCH=075,Accuracy= 85.950%
EPOCH=076,Accuracy= 87.260%
EPOCH=077,Accuracy= 83.240%
EPOCH=078,Accuracy= 85.440%
EPOCH=079,Accuracy= 87.340%
EPOCH=080,Accuracy= 88.430%
EPOCH=081,Accuracy= 87.040%
EPOCH=082,Accuracy= 86.200%
EPOCH=083,Accuracy= 83.810%
EPOCH=084,Accuracy= 86.760%
EPOCH=085,Accuracy= 85.410%
EPOCH=086,Accuracy= 87.500%
EPOCH=087,Accuracy= 88.100%
EPOCH=088,Accuracy= 88.370%
EPOCH=089,Accuracy= 87.490%
EPOCH=090,Accuracy= 88.110%
EPOCH=091,Accuracy= 87.150%
EPOCH=092,Accuracy= 85.840%
EPOCH=093,Accuracy= 89.030%
EPOCH=094,Accuracy= 86.910%
EPOCH=095,Accuracy= 86.150%
EPOCH=096,Accuracy= 89.820%
EPOCH=097,Accuracy= 89.530%
EPOCH=098,Accuracy= 89.400%
EPOCH=099,Accuracy= 86.460%
EPOCH=100,Accuracy= 88.000%
EPOCH=101,Accuracy= 89.480%
EPOCH=102,Accuracy= 90.040%
EPOCH=103,Accuracy= 88.240%
EPOCH=104,Accuracy= 88.020%
