EPOCH=001,Accuracy= 42.860%
EPOCH=002,Accuracy= 49.970%
EPOCH=003,Accuracy= 64.440%
EPOCH=004,Accuracy= 70.120%
EPOCH=005,Accuracy= 69.610%
EPOCH=006,Accuracy= 76.940%
EPOCH=007,Accuracy= 78.210%
EPOCH=008,Accuracy= 80.210%
EPOCH=009,Accuracy= 79.150%
EPOCH=010,Accuracy= 79.550%
EPOCH=011,Accuracy= 79.290%
EPOCH=012,Accuracy= 79.750%
EPOCH=013,Accuracy= 79.160%
EPOCH=014,Accuracy= 80.030%
EPOCH=015,Accuracy= 79.760%
EPOCH=016,Accuracy= 77.950%
EPOCH=017,Accuracy= 79.050%
EPOCH=018,Accuracy= 79.170%
EPOCH=019,Accuracy= 80.210%
EPOCH=020,Accuracy= 79.570%
EPOCH=021,Accuracy= 71.520%
EPOCH=022,Accuracy= 81.550%
EPOCH=023,Accuracy= 77.520%
EPOCH=024,Accuracy= 79.350%
EPOCH=025,Accuracy= 78.590%
EPOCH=026,Accuracy= 75.160%
EPOCH=027,Accuracy= 80.150%
EPOCH=028,Accuracy= 80.190%
EPOCH=029,Accuracy= 80.960%
EPOCH=030,Accuracy= 78.750%
EPOCH=031,Accuracy= 78.140%
EPOCH=032,Accuracy= 79.970%
EPOCH=033,Accuracy= 79.790%
EPOCH=034,Accuracy= 79.070%
EPOCH=035,Accuracy= 80.650%
EPOCH=036,Accuracy= 78.320%
EPOCH=037,Accuracy= 79.770%
EPOCH=038,Accuracy= 76.830%
EPOCH=039,Accuracy= 81.470%
EPOCH=040,Accuracy= 80.960%
EPOCH=041,Accuracy= 81.070%
EPOCH=042,Accuracy= 77.510%
EPOCH=043,Accuracy= 81.090%
EPOCH=044,Accuracy= 80.580%
EPOCH=045,Accuracy= 80.550%
EPOCH=046,Accuracy= 80.800%
EPOCH=047,Accuracy= 81.330%
EPOCH=048,Accuracy= 78.890%
EPOCH=049,Accuracy= 79.870%
EPOCH=050,Accuracy= 80.160%
EPOCH=051,Accuracy= 80.470%
EPOCH=052,Accuracy= 79.800%
EPOCH=053,Accuracy= 79.460%
EPOCH=054,Accuracy= 75.860%
EPOCH=055,Accuracy= 80.780%
EPOCH=056,Accuracy= 78.320%
EPOCH=057,Accuracy= 82.610%
EPOCH=058,Accuracy= 80.830%
EPOCH=059,Accuracy= 81.120%
EPOCH=060,Accuracy= 77.660%
EPOCH=061,Accuracy= 81.370%
EPOCH=062,Accuracy= 80.860%
EPOCH=063,Accuracy= 81.430%
EPOCH=064,Accuracy= 79.980%
EPOCH=065,Accuracy= 80.390%
EPOCH=066,Accuracy= 82.100%
EPOCH=067,Accuracy= 81.980%
EPOCH=068,Accuracy= 79.280%
EPOCH=069,Accuracy= 80.070%
EPOCH=070,Accuracy= 81.470%
EPOCH=071,Accuracy= 82.070%
EPOCH=072,Accuracy= 80.770%
EPOCH=073,Accuracy= 81.830%
EPOCH=074,Accuracy= 82.430%
EPOCH=075,Accuracy= 80.480%
EPOCH=076,Accuracy= 81.910%
EPOCH=077,Accuracy= 81.910%
EPOCH=078,Accuracy= 78.930%
EPOCH=079,Accuracy= 79.020%
EPOCH=080,Accuracy= 81.720%
EPOCH=081,Accuracy= 79.890%
EPOCH=082,Accuracy= 81.920%
EPOCH=083,Accuracy= 81.580%
EPOCH=084,Accuracy= 79.790%
EPOCH=085,Accuracy= 81.980%
EPOCH=086,Accuracy= 83.480%
EPOCH=087,Accuracy= 82.510%
EPOCH=088,Accuracy= 82.650%
EPOCH=089,Accuracy= 80.530%
EPOCH=090,Accuracy= 81.970%
EPOCH=091,Accuracy= 82.810%
EPOCH=092,Accuracy= 80.960%
EPOCH=093,Accuracy= 82.520%
EPOCH=094,Accuracy= 77.710%
EPOCH=095,Accuracy= 83.110%
EPOCH=096,Accuracy= 82.830%
EPOCH=097,Accuracy= 81.730%
EPOCH=098,Accuracy= 82.590%
EPOCH=099,Accuracy= 82.720%
EPOCH=100,Accuracy= 82.740%
