EPOCH=001,Accuracy= 42.798%
EPOCH=002,Accuracy= 60.836%
EPOCH=003,Accuracy= 69.846%
EPOCH=004,Accuracy= 76.896%
EPOCH=005,Accuracy= 82.978%
EPOCH=006,Accuracy= 88.828%
EPOCH=007,Accuracy= 93.912%
EPOCH=008,Accuracy= 97.674%
EPOCH=009,Accuracy= 99.296%
EPOCH=010,Accuracy= 99.784%
EPOCH=011,Accuracy= 99.966%
EPOCH=012,Accuracy= 99.998%
EPOCH=013,Accuracy= 99.994%
EPOCH=014,Accuracy= 100.000%
EPOCH=015,Accuracy= 100.000%
EPOCH=016,Accuracy= 100.000%
EPOCH=017,Accuracy= 100.000%
EPOCH=018,Accuracy= 100.000%
EPOCH=019,Accuracy= 100.000%
EPOCH=020,Accuracy= 100.000%
EPOCH=021,Accuracy= 100.000%
EPOCH=022,Accuracy= 100.000%
EPOCH=023,Accuracy= 100.000%
EPOCH=024,Accuracy= 100.000%
EPOCH=025,Accuracy= 100.000%
EPOCH=026,Accuracy= 100.000%
EPOCH=027,Accuracy= 100.000%
EPOCH=028,Accuracy= 100.000%
EPOCH=029,Accuracy= 100.000%
EPOCH=030,Accuracy= 100.000%
EPOCH=031,Accuracy= 100.000%
EPOCH=032,Accuracy= 100.000%
EPOCH=033,Accuracy= 100.000%
EPOCH=034,Accuracy= 100.000%
EPOCH=035,Accuracy= 100.000%
EPOCH=036,Accuracy= 100.000%
EPOCH=037,Accuracy= 100.000%
EPOCH=038,Accuracy= 100.000%
EPOCH=039,Accuracy= 100.000%
EPOCH=040,Accuracy= 100.000%
EPOCH=041,Accuracy= 100.000%
EPOCH=042,Accuracy= 100.000%
EPOCH=043,Accuracy= 100.000%
EPOCH=044,Accuracy= 100.000%
EPOCH=045,Accuracy= 100.000%
EPOCH=046,Accuracy= 100.000%
EPOCH=047,Accuracy= 100.000%
EPOCH=048,Accuracy= 100.000%
EPOCH=049,Accuracy= 100.000%
EPOCH=050,Accuracy= 100.000%
EPOCH=051,Accuracy= 100.000%
EPOCH=052,Accuracy= 100.000%
EPOCH=053,Accuracy= 100.000%
EPOCH=054,Accuracy= 100.000%
EPOCH=055,Accuracy= 100.000%
EPOCH=056,Accuracy= 100.000%
EPOCH=057,Accuracy= 100.000%
EPOCH=058,Accuracy= 100.000%
EPOCH=059,Accuracy= 100.000%
EPOCH=060,Accuracy= 100.000%
EPOCH=061,Accuracy= 100.000%
EPOCH=062,Accuracy= 100.000%
EPOCH=063,Accuracy= 100.000%
EPOCH=064,Accuracy= 100.000%
EPOCH=065,Accuracy= 100.000%
EPOCH=066,Accuracy= 100.000%
EPOCH=067,Accuracy= 100.000%
EPOCH=068,Accuracy= 100.000%
EPOCH=069,Accuracy= 100.000%
EPOCH=070,Accuracy= 100.000%
EPOCH=071,Accuracy= 100.000%
EPOCH=072,Accuracy= 100.000%
EPOCH=073,Accuracy= 100.000%
EPOCH=074,Accuracy= 100.000%
EPOCH=075,Accuracy= 100.000%
EPOCH=076,Accuracy= 100.000%
EPOCH=077,Accuracy= 100.000%
EPOCH=078,Accuracy= 100.000%
EPOCH=079,Accuracy= 100.000%
EPOCH=080,Accuracy= 100.000%
EPOCH=081,Accuracy= 100.000%
EPOCH=082,Accuracy= 100.000%
EPOCH=083,Accuracy= 100.000%
EPOCH=084,Accuracy= 100.000%
EPOCH=085,Accuracy= 100.000%
EPOCH=086,Accuracy= 100.000%
EPOCH=087,Accuracy= 100.000%
EPOCH=088,Accuracy= 100.000%
EPOCH=089,Accuracy= 100.000%
EPOCH=090,Accuracy= 100.000%
EPOCH=091,Accuracy= 100.000%
EPOCH=092,Accuracy= 100.000%
EPOCH=093,Accuracy= 100.000%
EPOCH=094,Accuracy= 100.000%
EPOCH=095,Accuracy= 100.000%
EPOCH=096,Accuracy= 100.000%
EPOCH=097,Accuracy= 100.000%
EPOCH=098,Accuracy= 100.000%
EPOCH=099,Accuracy= 100.000%
EPOCH=100,Accuracy= 100.000%
