EPOCH=001,Accuracy= 65.000%
EPOCH=002,Accuracy= 73.540%
EPOCH=003,Accuracy= 80.430%
EPOCH=004,Accuracy= 77.000%
EPOCH=005,Accuracy= 80.370%
EPOCH=006,Accuracy= 78.320%
EPOCH=007,Accuracy= 79.040%
EPOCH=008,Accuracy= 80.530%
EPOCH=009,Accuracy= 82.000%
EPOCH=010,Accuracy= 81.710%
EPOCH=011,Accuracy= 82.420%
EPOCH=012,Accuracy= 81.770%
EPOCH=013,Accuracy= 81.760%
EPOCH=014,Accuracy= 82.960%
EPOCH=015,Accuracy= 80.020%
EPOCH=016,Accuracy= 82.970%
EPOCH=017,Accuracy= 82.290%
EPOCH=018,Accuracy= 81.870%
EPOCH=019,Accuracy= 82.780%
EPOCH=020,Accuracy= 82.240%
EPOCH=021,Accuracy= 82.740%
EPOCH=022,Accuracy= 81.950%
EPOCH=023,Accuracy= 84.290%
EPOCH=024,Accuracy= 85.690%
EPOCH=025,Accuracy= 85.950%
EPOCH=026,Accuracy= 86.190%
EPOCH=027,Accuracy= 86.120%
EPOCH=028,Accuracy= 86.310%
EPOCH=029,Accuracy= 86.330%
EPOCH=030,Accuracy= 86.510%
EPOCH=031,Accuracy= 86.460%
EPOCH=032,Accuracy= 86.420%
EPOCH=033,Accuracy= 86.510%
EPOCH=034,Accuracy= 86.640%
EPOCH=035,Accuracy= 86.790%
EPOCH=036,Accuracy= 86.760%
EPOCH=037,Accuracy= 86.760%
EPOCH=038,Accuracy= 86.920%
EPOCH=039,Accuracy= 86.960%
EPOCH=040,Accuracy= 86.960%
EPOCH=041,Accuracy= 86.840%
EPOCH=042,Accuracy= 86.950%
EPOCH=043,Accuracy= 87.010%
EPOCH=044,Accuracy= 86.980%
EPOCH=045,Accuracy= 86.980%
EPOCH=046,Accuracy= 86.940%
EPOCH=047,Accuracy= 86.960%
EPOCH=048,Accuracy= 86.900%
EPOCH=049,Accuracy= 86.700%
EPOCH=050,Accuracy= 86.770%
EPOCH=051,Accuracy= 86.870%
EPOCH=052,Accuracy= 79.890%
EPOCH=053,Accuracy= 80.200%
EPOCH=054,Accuracy= 80.900%
EPOCH=055,Accuracy= 83.340%
EPOCH=056,Accuracy= 83.570%
EPOCH=057,Accuracy= 83.890%
EPOCH=058,Accuracy= 83.770%
EPOCH=059,Accuracy= 84.510%
EPOCH=060,Accuracy= 85.260%
EPOCH=061,Accuracy= 86.500%
EPOCH=062,Accuracy= 86.700%
EPOCH=063,Accuracy= 86.840%
EPOCH=064,Accuracy= 86.860%
EPOCH=065,Accuracy= 87.020%
EPOCH=066,Accuracy= 87.020%
EPOCH=067,Accuracy= 86.960%
EPOCH=068,Accuracy= 87.060%
EPOCH=069,Accuracy= 87.160%
EPOCH=070,Accuracy= 87.300%
EPOCH=071,Accuracy= 87.230%
EPOCH=072,Accuracy= 87.200%
EPOCH=073,Accuracy= 87.330%
EPOCH=074,Accuracy= 86.830%
EPOCH=075,Accuracy= 84.800%
EPOCH=076,Accuracy= 79.750%
EPOCH=077,Accuracy= 79.930%
EPOCH=078,Accuracy= 83.400%
EPOCH=079,Accuracy= 83.900%
EPOCH=080,Accuracy= 85.320%
EPOCH=081,Accuracy= 85.490%
EPOCH=082,Accuracy= 86.040%
EPOCH=083,Accuracy= 86.770%
EPOCH=084,Accuracy= 86.900%
EPOCH=085,Accuracy= 87.020%
EPOCH=086,Accuracy= 87.040%
EPOCH=087,Accuracy= 87.310%
EPOCH=088,Accuracy= 87.180%
EPOCH=089,Accuracy= 87.080%
EPOCH=090,Accuracy= 87.270%
EPOCH=091,Accuracy= 87.240%
EPOCH=092,Accuracy= 87.360%
EPOCH=093,Accuracy= 87.250%
EPOCH=094,Accuracy= 87.300%
EPOCH=095,Accuracy= 87.290%
EPOCH=096,Accuracy= 87.430%
EPOCH=097,Accuracy= 87.310%
EPOCH=098,Accuracy= 87.210%
EPOCH=099,Accuracy= 87.360%
EPOCH=100,Accuracy= 87.300%
