EPOCH=001,Accuracy= 17.760%
EPOCH=002,Accuracy= 27.280%
EPOCH=003,Accuracy= 38.670%
EPOCH=004,Accuracy= 46.230%
EPOCH=005,Accuracy= 51.130%
EPOCH=006,Accuracy= 54.290%
EPOCH=007,Accuracy= 59.410%
EPOCH=008,Accuracy= 62.670%
EPOCH=009,Accuracy= 65.260%
EPOCH=010,Accuracy= 64.760%
EPOCH=011,Accuracy= 71.250%
EPOCH=012,Accuracy= 74.570%
EPOCH=013,Accuracy= 72.220%
EPOCH=014,Accuracy= 70.660%
EPOCH=015,Accuracy= 74.860%
EPOCH=016,Accuracy= 74.430%
EPOCH=017,Accuracy= 73.980%
EPOCH=018,Accuracy= 64.120%
EPOCH=019,Accuracy= 76.780%
EPOCH=020,Accuracy= 75.880%
EPOCH=021,Accuracy= 79.110%
EPOCH=022,Accuracy= 65.190%
EPOCH=023,Accuracy= 79.890%
EPOCH=024,Accuracy= 73.570%
EPOCH=025,Accuracy= 70.240%
EPOCH=026,Accuracy= 75.470%
EPOCH=027,Accuracy= 78.210%
EPOCH=028,Accuracy= 74.780%
EPOCH=029,Accuracy= 75.190%
EPOCH=030,Accuracy= 75.370%
EPOCH=031,Accuracy= 69.700%
EPOCH=032,Accuracy= 76.710%
EPOCH=033,Accuracy= 77.370%
EPOCH=034,Accuracy= 76.150%
EPOCH=035,Accuracy= 79.260%
EPOCH=036,Accuracy= 79.470%
EPOCH=037,Accuracy= 76.730%
EPOCH=038,Accuracy= 79.650%
EPOCH=039,Accuracy= 80.470%
EPOCH=040,Accuracy= 78.720%
EPOCH=041,Accuracy= 78.950%
EPOCH=042,Accuracy= 77.680%
EPOCH=043,Accuracy= 78.610%
EPOCH=044,Accuracy= 76.550%
EPOCH=045,Accuracy= 80.990%
EPOCH=046,Accuracy= 76.130%
EPOCH=047,Accuracy= 79.490%
EPOCH=048,Accuracy= 75.600%
EPOCH=049,Accuracy= 74.780%
EPOCH=050,Accuracy= 79.530%
EPOCH=051,Accuracy= 77.140%
EPOCH=052,Accuracy= 79.510%
EPOCH=053,Accuracy= 81.700%
EPOCH=054,Accuracy= 81.700%
EPOCH=055,Accuracy= 79.350%
EPOCH=056,Accuracy= 79.740%
EPOCH=057,Accuracy= 78.620%
EPOCH=058,Accuracy= 78.250%
EPOCH=059,Accuracy= 80.630%
EPOCH=060,Accuracy= 81.990%
EPOCH=061,Accuracy= 80.390%
EPOCH=062,Accuracy= 76.600%
EPOCH=063,Accuracy= 80.530%
EPOCH=064,Accuracy= 76.720%
EPOCH=065,Accuracy= 81.150%
EPOCH=066,Accuracy= 81.400%
EPOCH=067,Accuracy= 80.730%
EPOCH=068,Accuracy= 79.670%
EPOCH=069,Accuracy= 81.750%
EPOCH=070,Accuracy= 83.290%
EPOCH=071,Accuracy= 79.550%
EPOCH=072,Accuracy= 80.490%
EPOCH=073,Accuracy= 80.150%
EPOCH=074,Accuracy= 79.070%
EPOCH=075,Accuracy= 78.650%
EPOCH=076,Accuracy= 81.740%
EPOCH=077,Accuracy= 79.140%
EPOCH=078,Accuracy= 82.500%
EPOCH=079,Accuracy= 79.780%
EPOCH=080,Accuracy= 81.360%
EPOCH=081,Accuracy= 82.070%
EPOCH=082,Accuracy= 82.540%
EPOCH=083,Accuracy= 82.870%
EPOCH=084,Accuracy= 78.420%
EPOCH=085,Accuracy= 82.960%
EPOCH=086,Accuracy= 83.470%
EPOCH=087,Accuracy= 83.760%
EPOCH=088,Accuracy= 83.620%
EPOCH=089,Accuracy= 82.390%
EPOCH=090,Accuracy= 83.310%
EPOCH=091,Accuracy= 83.560%
EPOCH=092,Accuracy= 82.150%
EPOCH=093,Accuracy= 81.970%
EPOCH=094,Accuracy= 82.800%
EPOCH=095,Accuracy= 82.430%
EPOCH=096,Accuracy= 82.370%
EPOCH=097,Accuracy= 84.100%
EPOCH=098,Accuracy= 83.070%
EPOCH=099,Accuracy= 81.460%
EPOCH=100,Accuracy= 83.220%
EPOCH=101,Accuracy= 82.760%
EPOCH=102,Accuracy= 84.370%
EPOCH=103,Accuracy= 84.190%
EPOCH=104,Accuracy= 83.110%
EPOCH=105,Accuracy= 76.960%
EPOCH=106,Accuracy= 83.010%
EPOCH=107,Accuracy= 82.230%
EPOCH=108,Accuracy= 83.500%
EPOCH=109,Accuracy= 84.480%
EPOCH=110,Accuracy= 84.660%
EPOCH=111,Accuracy= 83.870%
EPOCH=112,Accuracy= 84.230%
EPOCH=113,Accuracy= 85.130%
EPOCH=114,Accuracy= 84.040%
