001  00001 |Loss: 2.526 | Acc: 7.812% 
001  00002 |Loss: 11.037 | Acc: 6.641% 
001  00003 |Loss: 19.131 | Acc: 5.990% 
001  00004 |Loss: 15.838 | Acc: 8.008% 
001  00005 |Loss: 13.993 | Acc: 8.125% 
001  00006 |Loss: 12.413 | Acc: 8.724% 
001  00007 |Loss: 12.307 | Acc: 9.040% 
001  00008 |Loss: 11.790 | Acc: 8.691% 
001  00009 |Loss: 11.309 | Acc: 8.941% 
001  00010 |Loss: 10.454 | Acc: 8.984% 
001  00011 |Loss: 9.778 | Acc: 9.304% 
001  00012 |Loss: 9.200 | Acc: 9.375% 
001  00013 |Loss: 8.703 | Acc: 9.135% 
001  00014 |Loss: 8.250 | Acc: 9.208% 
001  00015 |Loss: 7.883 | Acc: 9.531% 
001  00016 |Loss: 7.556 | Acc: 9.619% 
001  00017 |Loss: 7.270 | Acc: 9.972% 
001  00018 |Loss: 7.008 | Acc: 10.026% 
001  00019 |Loss: 6.786 | Acc: 9.827% 
001  00020 |Loss: 6.565 | Acc: 9.805% 
001  00021 |Loss: 6.364 | Acc: 9.859% 
001  00022 |Loss: 6.184 | Acc: 9.801% 
001  00023 |Loss: 6.018 | Acc: 9.851% 
001  00024 |Loss: 5.867 | Acc: 9.863% 
001  00025 |Loss: 5.725 | Acc: 10.000% 
001  00026 |Loss: 5.599 | Acc: 10.066% 
001  00027 |Loss: 5.478 | Acc: 10.127% 
001  00028 |Loss: 5.366 | Acc: 10.240% 
001  00029 |Loss: 5.261 | Acc: 10.210% 
001  00030 |Loss: 5.164 | Acc: 10.234% 
001  00031 |Loss: 5.072 | Acc: 10.207% 
001  00032 |Loss: 4.986 | Acc: 10.352% 
001  00033 |Loss: 4.904 | Acc: 10.298% 
001  00034 |Loss: 4.828 | Acc: 10.317% 
001  00035 |Loss: 4.756 | Acc: 10.357% 
001  00036 |Loss: 4.689 | Acc: 10.460% 
001  00037 |Loss: 4.630 | Acc: 10.431% 
001  00038 |Loss: 4.570 | Acc: 10.485% 
001  00039 |Loss: 4.511 | Acc: 10.437% 
001  00040 |Loss: 4.456 | Acc: 10.410% 
001  00041 |Loss: 4.404 | Acc: 10.309% 
001  00042 |Loss: 4.354 | Acc: 10.193% 
001  00043 |Loss: 4.307 | Acc: 10.174% 
001  00044 |Loss: 4.261 | Acc: 10.281% 
001  00045 |Loss: 4.218 | Acc: 10.260% 
001  00046 |Loss: 4.177 | Acc: 10.258% 
001  00047 |Loss: 4.138 | Acc: 10.239% 
001  00048 |Loss: 4.100 | Acc: 10.286% 
001  00049 |Loss: 4.064 | Acc: 10.284% 
001  00050 |Loss: 4.029 | Acc: 10.219% 
001  00051 |Loss: 3.996 | Acc: 10.202% 
001  00052 |Loss: 3.963 | Acc: 10.231% 
001  00053 |Loss: 3.932 | Acc: 10.215% 
001  00054 |Loss: 3.902 | Acc: 10.229% 
001  00055 |Loss: 3.873 | Acc: 10.213% 
001  00056 |Loss: 3.845 | Acc: 10.268% 
001  00057 |Loss: 3.819 | Acc: 10.197% 
001  00058 |Loss: 3.793 | Acc: 10.129% 
001  00059 |Loss: 3.769 | Acc: 10.117% 
001  00060 |Loss: 3.745 | Acc: 10.117% 
001  00061 |Loss: 3.721 | Acc: 10.067% 
001  00062 |Loss: 3.699 | Acc: 10.081% 
001  00063 |Loss: 3.677 | Acc: 10.045% 
001  00064 |Loss: 3.656 | Acc: 9.937% 
001  00065 |Loss: 3.635 | Acc: 10.012% 
001  00066 |Loss: 3.615 | Acc: 10.144% 
001  00067 |Loss: 3.596 | Acc: 10.121% 
001  00068 |Loss: 3.577 | Acc: 10.110% 
001  00069 |Loss: 3.559 | Acc: 10.066% 
001  00070 |Loss: 3.542 | Acc: 10.067% 
001  00071 |Loss: 3.525 | Acc: 10.068% 
