001  00001 |Loss: 2.414 | Acc: 12.500% 
001  00002 |Loss: 2.380 | Acc: 10.938% 
001  00003 |Loss: 2.317 | Acc: 13.021% 
001  00004 |Loss: 2.324 | Acc: 14.062% 
001  00005 |Loss: 2.331 | Acc: 15.000% 
001  00006 |Loss: 2.312 | Acc: 15.885% 
001  00007 |Loss: 2.293 | Acc: 16.071% 
001  00008 |Loss: 2.287 | Acc: 15.820% 
001  00009 |Loss: 2.259 | Acc: 17.882% 
001  00010 |Loss: 2.234 | Acc: 18.750% 
001  00011 |Loss: 2.208 | Acc: 19.318% 
001  00012 |Loss: 2.211 | Acc: 19.010% 
001  00013 |Loss: 2.187 | Acc: 20.072% 
001  00014 |Loss: 2.172 | Acc: 20.424% 
001  00015 |Loss: 2.148 | Acc: 20.729% 
001  00016 |Loss: 2.138 | Acc: 20.801% 
001  00017 |Loss: 2.130 | Acc: 20.772% 
001  00018 |Loss: 2.137 | Acc: 20.747% 
001  00019 |Loss: 2.131 | Acc: 21.053% 
001  00020 |Loss: 2.133 | Acc: 21.172% 
001  00021 |Loss: 2.140 | Acc: 21.503% 
001  00022 |Loss: 2.132 | Acc: 21.662% 
001  00023 |Loss: 2.129 | Acc: 21.807% 
001  00024 |Loss: 2.123 | Acc: 21.940% 
001  00025 |Loss: 2.115 | Acc: 22.125% 
001  00026 |Loss: 2.111 | Acc: 22.536% 
001  00027 |Loss: 2.106 | Acc: 22.743% 
001  00028 |Loss: 2.096 | Acc: 23.047% 
001  00029 |Loss: 2.090 | Acc: 23.599% 
001  00030 |Loss: 2.086 | Acc: 23.854% 
001  00031 |Loss: 2.079 | Acc: 23.992% 
001  00032 |Loss: 2.083 | Acc: 23.926% 
001  00033 |Loss: 2.068 | Acc: 24.432% 
001  00034 |Loss: 2.058 | Acc: 24.908% 
001  00035 |Loss: 2.053 | Acc: 25.045% 
001  00036 |Loss: 2.052 | Acc: 25.174% 
001  00037 |Loss: 2.049 | Acc: 25.422% 
001  00038 |Loss: 2.040 | Acc: 25.781% 
001  00039 |Loss: 2.033 | Acc: 26.042% 
001  00040 |Loss: 2.032 | Acc: 26.367% 
001  00041 |Loss: 2.029 | Acc: 26.448% 
001  00042 |Loss: 2.026 | Acc: 26.302% 
001  00043 |Loss: 2.021 | Acc: 26.453% 
001  00044 |Loss: 2.016 | Acc: 26.669% 
001  00045 |Loss: 2.019 | Acc: 26.632% 
001  00046 |Loss: 2.009 | Acc: 26.834% 
001  00047 |Loss: 2.006 | Acc: 26.928% 
001  00048 |Loss: 2.000 | Acc: 27.083% 
001  00049 |Loss: 1.997 | Acc: 27.168% 
001  00050 |Loss: 1.995 | Acc: 27.062% 
001  00051 |Loss: 1.991 | Acc: 27.083% 
001  00052 |Loss: 1.984 | Acc: 27.344% 
001  00053 |Loss: 1.988 | Acc: 27.447% 
001  00054 |Loss: 1.982 | Acc: 27.459% 
001  00055 |Loss: 1.979 | Acc: 27.528% 
001  00056 |Loss: 1.975 | Acc: 27.734% 
001  00057 |Loss: 1.976 | Acc: 27.988% 
001  00058 |Loss: 1.978 | Acc: 27.883% 
001  00059 |Loss: 1.972 | Acc: 28.019% 
001  00060 |Loss: 1.965 | Acc: 28.333% 
001  00061 |Loss: 1.961 | Acc: 28.612% 
001  00062 |Loss: 1.963 | Acc: 28.553% 
001  00063 |Loss: 1.961 | Acc: 28.720% 
001  00064 |Loss: 1.960 | Acc: 28.760% 
001  00065 |Loss: 1.954 | Acc: 28.894% 
001  00066 |Loss: 1.952 | Acc: 29.001% 
001  00067 |Loss: 1.949 | Acc: 29.151% 
001  00068 |Loss: 1.950 | Acc: 29.274% 
001  00069 |Loss: 1.949 | Acc: 29.461% 
001  00070 |Loss: 1.947 | Acc: 29.598% 
001  00071 |Loss: 1.945 | Acc: 29.732% 
001  00072 |Loss: 1.940 | Acc: 29.883% 
001  00073 |Loss: 1.934 | Acc: 30.223% 
001  00074 |Loss: 1.931 | Acc: 30.363% 
001  00075 |Loss: 1.930 | Acc: 30.396% 
001  00076 |Loss: 1.932 | Acc: 30.366% 
001  00077 |Loss: 1.927 | Acc: 30.560% 
001  00078 |Loss: 1.920 | Acc: 30.769% 
001  00079 |Loss: 1.916 | Acc: 30.914% 
001  00080 |Loss: 1.914 | Acc: 30.879% 
001  00081 |Loss: 1.913 | Acc: 30.922% 
001  00082 |Loss: 1.911 | Acc: 30.964% 
001  00083 |Loss: 1.905 | Acc: 31.194% 
001  00084 |Loss: 1.901 | Acc: 31.343% 
001  00085 |Loss: 1.898 | Acc: 31.397% 
001  00086 |Loss: 1.894 | Acc: 31.450% 
001  00087 |Loss: 1.894 | Acc: 31.394% 
001  00088 |Loss: 1.895 | Acc: 31.463% 
001  00089 |Loss: 1.891 | Acc: 31.654% 
001  00090 |Loss: 1.887 | Acc: 31.719% 
001  00091 |Loss: 1.885 | Acc: 31.748% 
001  00092 |Loss: 1.886 | Acc: 31.776% 
001  00093 |Loss: 1.885 | Acc: 31.905% 
001  00094 |Loss: 1.886 | Acc: 31.865% 
001  00095 |Loss: 1.883 | Acc: 31.908% 
001  00096 |Loss: 1.881 | Acc: 31.982% 
001  00097 |Loss: 1.880 | Acc: 32.055% 
001  00098 |Loss: 1.877 | Acc: 32.175% 
001  00099 |Loss: 1.876 | Acc: 32.260% 
001  00100 |Loss: 1.875 | Acc: 32.234% 
001  00101 |Loss: 1.872 | Acc: 32.256% 
001  00102 |Loss: 1.869 | Acc: 32.338% 
001  00103 |Loss: 1.868 | Acc: 32.388% 
001  00104 |Loss: 1.870 | Acc: 32.362% 
001  00105 |Loss: 1.867 | Acc: 32.455% 
001  00106 |Loss: 1.864 | Acc: 32.577% 
001  00107 |Loss: 1.861 | Acc: 32.725% 
001  00108 |Loss: 1.860 | Acc: 32.769% 
001  00109 |Loss: 1.857 | Acc: 32.827% 
001  00110 |Loss: 1.856 | Acc: 32.770% 
001  00111 |Loss: 1.857 | Acc: 32.770% 
001  00112 |Loss: 1.855 | Acc: 32.799% 
001  00113 |Loss: 1.853 | Acc: 32.923% 
001  00114 |Loss: 1.851 | Acc: 32.963% 
001  00115 |Loss: 1.849 | Acc: 33.016% 
001  00116 |Loss: 1.846 | Acc: 33.163% 
001  00117 |Loss: 1.843 | Acc: 33.307% 
001  00118 |Loss: 1.843 | Acc: 33.355% 
001  00119 |Loss: 1.840 | Acc: 33.430% 
001  00120 |Loss: 1.839 | Acc: 33.451% 
001  00121 |Loss: 1.837 | Acc: 33.574% 
001  00122 |Loss: 1.835 | Acc: 33.568% 
001  00123 |Loss: 1.833 | Acc: 33.638% 
001  00124 |Loss: 1.830 | Acc: 33.707% 
001  00125 |Loss: 1.827 | Acc: 33.850% 
001  00126 |Loss: 1.826 | Acc: 33.904% 
001  00127 |Loss: 1.825 | Acc: 33.981% 
001  00128 |Loss: 1.823 | Acc: 34.009% 
001  00129 |Loss: 1.818 | Acc: 34.218% 
001  00130 |Loss: 1.818 | Acc: 34.327% 
001  00131 |Loss: 1.815 | Acc: 34.411% 
001  00132 |Loss: 1.812 | Acc: 34.517% 
001  00133 |Loss: 1.810 | Acc: 34.610% 
001  00134 |Loss: 1.808 | Acc: 34.678% 
001  00135 |Loss: 1.806 | Acc: 34.757% 
001  00136 |Loss: 1.804 | Acc: 34.835% 
001  00137 |Loss: 1.803 | Acc: 34.888% 
001  00138 |Loss: 1.800 | Acc: 34.896% 
001  00139 |Loss: 1.799 | Acc: 34.971% 
001  00140 |Loss: 1.796 | Acc: 35.045% 
001  00141 |Loss: 1.795 | Acc: 35.084% 
001  00142 |Loss: 1.791 | Acc: 35.189% 
001  00143 |Loss: 1.792 | Acc: 35.184% 
001  00144 |Loss: 1.789 | Acc: 35.330% 
001  00145 |Loss: 1.787 | Acc: 35.409% 
001  00146 |Loss: 1.786 | Acc: 35.435% 
001  00147 |Loss: 1.787 | Acc: 35.417% 
001  00148 |Loss: 1.786 | Acc: 35.484% 
001  00149 |Loss: 1.785 | Acc: 35.508% 
001  00150 |Loss: 1.782 | Acc: 35.562% 
001  00151 |Loss: 1.782 | Acc: 35.555% 
001  00152 |Loss: 1.782 | Acc: 35.506% 
001  00153 |Loss: 1.780 | Acc: 35.560% 
001  00154 |Loss: 1.778 | Acc: 35.613% 
001  00155 |Loss: 1.776 | Acc: 35.716% 
001  00156 |Loss: 1.773 | Acc: 35.737% 
001  00157 |Loss: 1.771 | Acc: 35.838% 
001  00158 |Loss: 1.770 | Acc: 35.898% 
001  00159 |Loss: 1.770 | Acc: 35.820% 
001  00160 |Loss: 1.770 | Acc: 35.840% 
001  00161 |Loss: 1.769 | Acc: 35.840% 
001  00162 |Loss: 1.768 | Acc: 35.831% 
001  00163 |Loss: 1.767 | Acc: 35.832% 
001  00164 |Loss: 1.768 | Acc: 35.833% 
001  00165 |Loss: 1.767 | Acc: 35.871% 
001  00166 |Loss: 1.767 | Acc: 35.825% 
001  00167 |Loss: 1.766 | Acc: 35.853% 
001  00168 |Loss: 1.765 | Acc: 35.900% 
001  00169 |Loss: 1.763 | Acc: 36.002% 
